ProteinGroup,F06,F01,F07,F08
23d84e0a-555a-4190-95e2-1b545cc65403,0,2,0,0
7ceb66bd-b998-4589-a810-8ae36f40cdba,0,0,2,0
257794db-3568-4d6d-a910-551fc78a5299,0,0,2,0
d2362213-a894-4510-803c-3b24682fb84a,0,0,0,2
e8ae49fc-0949-4c8b-8375-71b6a36f9962,2,0,0,0
e9249a0a-7be8-4755-a13c-0cba92cf1730,0,2,0,0
52bb640c-7f9b-4a28-bd95-522834ef3c1e,0,0,0,2
8e5002b6-26f6-4985-8fb5-67d9ffd3bab2,2,0,0,0
04a640bb-6af0-4e6c-b6f5-657591928f6d,2,0,0,0
3a46c1b9-8fcb-4788-a58a-4667803b345b,2,0,0,0
89849c3e-ad53-4a0c-a059-c47c225c2db4,2,0,0,0
afd5d3a0-aa55-428e-b905-cf785180cfd9,0,0,2,0
60f87d0f-2826-4cd6-a353-9b848cc3d136,0,0,2,0
c4a93f79-f728-4e79-9bea-b6303cfac378,0,2,0,0
29f95512-bf93-4455-81af-ae2c95c6df44,0,0,0,2
78abb940-b134-4d56-8d03-e05d757a2b44,0,0,0,2
d73f3525-53ee-4d6b-b53f-9f0c5e2fae5d,0,2,0,0
dac5e498-3cb1-4a55-8e8a-51f34959154f,2,0,0,0
e5e26b6b-45cf-4d7a-80dc-0156901d99f6,0,0,2,0
92c0db0c-80ec-4e72-90bc-c8a860013213,0,2,0,0
b949182c-9c5a-4a2e-9d39-01b7fd76d211,0,2,0,0
39276b66-f4a0-41d0-b24c-16b8e95833ba,0,2,0,0
04aabcd7-1388-4860-8347-25e4e1f3ece5,2,0,0,0
75493081-b082-4566-b430-fb178eb98f04,0,2,0,0
69483beb-b44a-41dc-b9b7-d2f8323554fd,0,2,0,0
e4d089bb-05c4-4805-9be1-84930a8a50b1,0,2,0,0
20f12904-ba6d-4d98-b396-b9402dfa5462,0,0,2,0
9acd9a5f-77b1-4f61-b4d4-adee4874409b,0,0,0,2
c1d511dd-893b-4c3a-995f-6f4f2137f7ff,2,0,0,0
95849df4-a2c9-416e-ac12-9e0a4dad4c1c,0,2,0,0
9cab8e8b-0fdb-422b-b5d6-597b440015a1,0,0,0,2
b4ee5b57-86ce-4940-aff7-8333b48357ed,2,0,0,0
3a82073c-2797-44f4-b1fa-7134c50e32db,2,0,0,0
be6f454a-67e1-47bc-a410-7c2d1413c5e8,0,0,2,0
7f243b0c-d2a7-4ac7-b23f-72c34b443e7b,0,0,2,0
28ba8f4a-88ce-4eea-bc99-fbe5c1864492,0,0,2,0
71c14f04-e637-47c5-83e8-894f6928e7fd,0,0,2,0
48ad6a26-8636-4fa5-8c90-a24d83ad14ae,2,0,0,0
cd66e99e-fa67-43ab-ada6-c17c9514ce1a,2,0,0,0
0d174dd8-7616-40e9-9cf6-ba4ee6c6f2f9,0,2,0,0
e5a45993-4fbf-47d2-a2c3-3800b338adba,0,2,0,0
07e7291c-bc52-4b4e-81a9-896171a42c52,0,2,0,0
d583f8c0-20f6-42d9-a466-c469bc4c4c4e,0,0,2,0
f190f937-745f-41b1-a4bf-7711f688624b,0,0,2,0
c1dac5fb-2004-41c6-a077-e29abf4207e8,0,0,2,0
86142d38-4f31-4161-a393-f4c38bbf5203,0,2,0,0
e613cb21-2a80-48f0-b42c-f23ae2b43d12,0,2,0,0
c6ebaf91-9a08-42df-bae9-f9069523b7ac,0,0,2,0
3fd8de7a-1124-4234-b345-a48aebdad996,0,2,0,0
f77e37b4-358c-4a91-ac61-8c4cf52dd49c,2,0,0,0
8a730deb-64d0-4605-9528-2de13bcaacd2,0,0,2,0
facd11fe-0a6c-4c2c-83c8-8c7d803cfbb2,0,2,0,0
