ProteinGroup,F06,F01,F07,F08
86c31755-713d-4261-b58e-646b9bd68749,1554,1036,3216,1672
64ce6d11-1c63-4230-8804-cd6f6f7d3adf,1344,2416,2356,924
a231bd4c-6b35-4393-8bce-82b818470a69,1238,2338,2216,880
f478fa19-3d5c-4b9f-b59f-9e9d1813e313,1264,2324,2186,822
fcb69fa7-f6ff-43ac-ac75-ef2d62a9d1c8,1102,1326,2222,1286
8cb1b822-9f10-4e64-94c6-86d0c54efb26,290,2716,632,1312
f970a71a-7728-4e37-92de-a0a817a0e9e5,568,964,1252,1316
b176865c-7091-424d-9117-7eaddcb80821,750,976,1442,676
850d66a8-5681-4b53-a1e8-7ee5a5f6cb64,742,738,1464,638
dc584954-5bfe-45ab-a1bd-a8ba38fcca7d,358,1946,608,472
b34819ac-64fd-43ed-87d4-d2db6cbc6db3,616,916,1200,544
ea419d31-0bd3-4a08-8718-6634f24d9f84,786,1134,990,350
e5531fbf-70bd-4297-bf84-5de72f34b4e4,312,1368,862,240
9f65cb7a-ee78-4def-b301-8a5e30fb746e,418,862,920,568
e0fb24b2-5949-43ac-9f72-c450305a790d,660,904,794,316
143e4d12-90b4-4f4d-b3b1-27d8d93fd85d,482,514,1258,234
5e108bd0-fbde-4d8a-a188-10cd45580e63,480,514,1256,234
2e241721-eca5-4aa1-83b9-e1fec4d4590f,430,838,934,246
809ac79a-1e2a-4a94-814c-e44654bdf287,500,518,1194,234
cc71ab43-d3a7-42c2-9e0c-45acd126174e,502,514,1192,234
a6bfd9c5-6326-47bb-b37c-aa847ec04ef2,560,392,1154,328
fd942c11-8de9-4be8-a8c0-263f8f4008a3,558,394,1150,314
8b03a39d-32b7-4b2b-bc19-22c4ea741c43,410,936,768,296
8a85b7c5-3b91-41ff-ad1f-c0493f720d8a,454,464,1266,178
c53d3556-d64b-4c76-9bb4-273bbfc6f597,434,636,896,386
6b24836c-b40d-4ce3-8068-16b04f7a3544,482,478,1154,230
32a58e62-f646-42ab-b4c7-e6773052a784,436,770,890,228
811a884b-7aad-4498-9f64-198b4e19e8c4,444,468,1184,178
b3db1bd0-1dde-46ea-b2fd-94a1dcec493d,434,510,1142,176
