ProteinGroup,S03,S05,S07,S11,S08,S14
c242_a4,0,1,0,0,0,0
d5925_a1,0,0,0,0,0,1
d1272_a4,0,0,1,0,0,0
d7926_a1,0,0,0,0,1,0
b83_a4,0,1,0,0,0,0
b83_a6,0,0,0,1,0,0
d7752_a1,0,0,0,1,0,0
d6349_a1,0,1,0,0,0,0
d7368_a1,0,0,0,0,0,1
d5367_a1,1,0,0,0,0,0
d4348_a1,0,0,0,0,0,1
d7588_a1,0,1,0,0,0,0
d5587_a1,0,1,0,0,0,0
d8409_a1,0,0,0,0,1,0
d8176_a1,0,0,0,1,0,0
d7693_a1,0,1,0,0,0,0
d7647_a1,0,1,0,0,0,0
c858_a3,0,0,0,0,1,0
d6129_a1,1,0,0,0,0,0
d5866_a1,0,0,0,0,0,1
d6770_a1,0,1,0,0,0,0
d7867_a1,0,0,0,1,0,0
d6907_a1,1,0,0,0,0,0
d8771_a1,0,0,0,0,0,1
d7811_a1,0,0,0,1,0,0
d3970_a1,0,0,0,0,1,0
d4022_a1,0,1,0,0,0,0
d6944_a1,0,0,0,0,1,0
b71_a7,1,0,0,0,0,0
d7532_a1,0,0,0,0,0,1
d6628_a1,0,0,0,1,0,0
d8492_a1,0,0,0,0,0,1
b20_b16,1,0,0,0,0,0
d8455_a1,0,0,0,0,0,1
d5435_a1,1,0,0,0,0,0
d7321_a1,0,0,1,0,0,0
d8675_a1,0,0,1,0,0,0
d7089_a1,0,1,0,0,0,0
d8734_a1,0,1,0,0,0,0
d7042_a1,0,0,0,0,0,1
d6386_a1,0,0,0,1,0,0
d4512_a1,0,0,0,0,1,0
d4559_a1,0,1,0,0,0,0
d6619_a1,0,0,1,0,0,0
d7098_a1,1,0,0,0,0,0
d7005_a1,0,0,0,1,0,0
d5683_a1,0,0,1,0,0,0
d8139_a1,0,0,0,0,1,0
d4270_a1,0,0,0,1,0,0
d8244_a1,0,0,1,0,0,0
d6445_a1,0,0,0,0,0,1
d6014_a1,0,0,0,1,0,0
a1_c130,0,0,0,0,0,1
a1_c134,0,0,0,1,0,0
c255_a9,0,0,0,1,0,0
d5097_a1,0,1,0,0,0,0
d6848_a1,0,0,0,0,0,1
d7110_a1,0,1,0,0,0,0
d7148_a1,0,1,0,0,0,0
d5032_a1,0,0,0,0,1,0
d6569_a1,0,1,0,0,0,0
d6395_a1,0,1,0,0,0,0
a9_b17,0,0,0,0,1,0
a9_b19,0,0,0,1,0,0
d8802_a1,1,0,0,0,0,0
