Percent subgroups	3_GP_06_08_10_	4_GP_06_08_09_10_	2_GP_06_09_	2_GP_06_08_	1_GP_09_	1_GP_08_	2_GP_08_10_	3_GP_06_09_10_	2_GP_06_10_	3_GP_06_08_09_	1_GP_06_	2_GP_08_09_	1_GP_10_	3_GP_08_09_10_	2_GP_09_10_	OnePepPercent
1.0	204	7107	88	33	1134	571	446	239	780	437	754	1066	3688	3202	790	0.2953456104944501
1.0	204	7107	88	33	1134	571	446	239	780	437	754	1066	3688	3202	790	0.2953456104944501
0.8223379911388091	204	7107	88	33	277	70	446	239	780	437	382	1066	1769	3202	790	0.09171999224355246
0.7434636545109304	204	7107	77	25	100	17	348	239	748	437	176	896	1046	3202	648	0.03856355845745766
0.6918058328058815	196	7107	58	16	46	5	264	232	670	431	145	713	683	3127	516	0.019809086341778512
0.6503724621451872	183	7106	41	9	18	3	205	224	605	422	102	576	445	3020	399	0.01189303840618135
0.6180924095622962	174	7100	22	7	9	2	149	213	540	408	77	481	302	2889	322	0.007779630070651742
0.5915575247090901	160	7084	16	6	4	1	118	199	478	391	62	407	212	2766	246	0.006044547486958682
0.5684307902040021	147	7061	15	3	4	1	94	176	430	367	49	351	166	2614	197	0.005079201101928375
0.5458883100443059	137	7027	13	3	1	1	74	167	383	337	31	301	120	2451	166	0.0035803795202291443
0.5270947952675398	126	6988	12	2	0	1	55	153	351	310	22	263	91	2312	140	0.0026859312772066313
0.5108330493208043	123	6949	10	2	0	1	42	139	321	295	16	232	69	2173	120	0.0022927015666794038
0.4948147426846487	112	6899	9	2	0	1	34	125	294	287	13	203	54	2044	86	0.0017742730409068506
0.4803544476362043	104	6845	8	2	0	1	33	114	256	274	12	176	48	1924	69	0.0015226880519744188
0.4667218462437314	89	6778	5	1	0	1	24	108	235	260	9	162	39	1814	61	0.0010442773600668337
0.4536248113345343	82	6710	5	1	0	1	20	101	217	250	9	140	31	1698	52	8.593833924159416E-4
0.4414528458055407	79	6634	5	1	0	0	18	92	203	237	8	123	27	1599	41	8.830996798763661E-4
0.42884268951750326	73	6554	4	0	0	0	16	79	181	224	7	109	22	1507	32	9.090909090909091E-4
0.41798529626564096	69	6482	4	0	0	0	13	72	165	217	6	86	16	1424	31	5.827505827505828E-4
0.4070792151516627	62	6402	2	0	0	0	13	68	152	204	6	74	13	1338	27	4.7864066052411155E-4
0.3968060762451921	59	6334	1	0	0	0	10	64	142	191	6	65	11	1246	21	4.910385465259023E-4
0.3871171916841131	54	6264	1	0	0	0	8	57	130	180	3	61	10	1168	15	5.033345916698125E-4
0.37869419153804956	48	6185	1	0	0	0	7	54	125	176	3	52	10	1103	14	3.858520900321543E-4
0.3711962607721895	45	6115	1	0	0	0	6	50	113	172	2	47	8	1051	14	3.936491274111009E-4
0.36233506986708214	43	6039	1	0	0	0	4	44	107	163	2	40	8	978	13	1.3439053890606102E-4
0.35376600613467063	39	5960	1	0	0	0	4	40	98	153	2	36	8	915	10	1.3764624913971095E-4
0.34621938750669456	39	5886	1	0	0	0	4	36	92	149	2	30	7	857	8	0.0
0.33911095963776233	39	5807	1	0	0	0	4	34	87	146	2	27	6	804	8	0.0
0.3318077803203661	35	5725	1	0	0	0	2	33	83	140	2	22	6	760	6	0.0
0.3248454160377818	34	5658	1	0	0	0	1	30	76	133	2	21	6	705	5	0.0
0.3183699303763572	33	5585	1	0	0	0	1	29	74	124	2	19	5	661	5	0.0
0.3127221383709041	33	5523	1	0	0	0	0	27	70	120	2	18	5	619	5	0.0
0.30697697064121915	33	5447	1	0	0	0	0	27	66	116	2	15	5	590	3	0.0
0.30176736939480986	31	5381	1	0	0	0	0	27	60	111	2	14	5	564	2	0.0
0.2969472710453284	31	5322	1	0	0	0	0	26	54	107	2	12	5	537	2	0.0
0.2912021033156434	30	5243	1	0	0	0	0	24	52	100	2	12	4	511	2	0.0
0.28613856565558204	28	5176	1	0	0	0	0	23	48	98	2	12	4	483	2	0.0
0.2809289644091728	24	5109	1	0	0	0	0	23	45	92	2	11	2	460	1	0.0
0.27630361750815524	22	5048	1	0	0	0	0	20	43	90	2	9	2	437	1	0.0
0.2713861434344418	22	4985	1	0	0	0	0	20	38	89	1	9	2	406	1	0.0
0.26729636301669996	22	4928	1	0	0	0	0	20	35	85	1	9	2	386	1	0.0
0.2635473976337699	22	4873	0	0	0	0	0	17	34	84	0	9	1	372	1	0.0
0.25794829349043286	19	4795	0	0	0	0	0	17	32	80	0	7	1	346	1	0.0
0.2528847558303715	18	4718	0	0	0	0	0	16	29	78	0	7	1	326	1	0.0
0.24835678465358585	16	4650	0	0	0	0	0	15	29	78	0	6	1	305	1	0.0
0.24460781927065584	15	4587	0	0	0	0	0	12	27	77	0	6	1	298	1	0.0
0.24115098106042163	13	4530	0	0	0	0	0	12	27	76	0	5	1	288	1	0.0
0.23827839719557914	13	4486	0	0	0	0	0	11	26	74	0	3	1	279	1	0.0
0.2353084376065047	13	4436	0	0	0	0	0	10	26	73	0	3	0	271	1	0.0
0.2316568479478066	13	4375	0	0	0	0	0	10	26	71	0	3	0	259	1	0.0
0.22829738546180436	9	4326	0	0	0	0	0	10	25	69	0	2	0	247	1	0.0
0.22523005014849798	7	4277	0	0	0	0	0	10	24	67	0	2	0	238	1	0.0
0.22260090559423537	7	4239	0	0	0	0	0	9	24	65	0	2	0	225	1	0.0
0.21992307317785675	6	4191	0	0	0	0	0	9	23	64	0	2	0	221	1	0.0
0.21685573786455037	6	4135	0	0	0	0	0	9	23	60	0	2	0	218	1	0.0
0.21417790544817178	6	4089	0	0	0	0	0	9	22	58	0	2	0	212	1	0.0
0.2114513851696772	5	4049	0	0	0	0	0	9	20	54	0	2	0	203	1	0.0
0.20901699206387847	5	4008	0	0	0	0	0	9	19	52	0	2	0	197	1	0.0
0.20643653537173182	5	3965	0	0	0	0	0	9	18	48	0	2	0	192	1	0.0
0.20371001509323725	4	3924	0	0	0	0	0	8	17	45	0	1	0	184	1	0.0
0.20137299771167047	3	3887	0	0	0	0	0	7	17	44	0	1	0	176	1	0.0
0.19918204391645164	3	3852	0	0	0	0	0	7	16	44	0	1	0	167	1	0.0
0.19650421150007302	3	3800	0	0	0	0	0	7	16	42	0	1	0	166	1	0.0
0.19377769122157845	3	3756	0	0	0	0	0	7	16	42	0	1	0	154	1	0.0
0.19153804956424364	3	3717	0	0	0	0	0	7	16	40	0	1	0	149	1	0.0
0.1894931593553727	3	3682	0	0	0	0	0	7	15	39	0	1	0	144	1	0.0
0.18744826914650178	3	3645	0	0	0	0	0	6	15	38	0	1	0	141	1	0.0
0.1855007546618628	3	3610	0	0	0	0	0	6	15	37	0	1	0	137	1	0.0
0.18326111300452796	3	3571	0	0	0	0	0	5	14	36	0	1	0	133	1	0.0
0.18180047714104874	3	3543	0	0	0	0	0	5	14	35	0	1	0	132	1	0.0
0.17960952334582989	3	3508	0	0	0	0	0	5	12	34	0	1	0	126	0	0.0
0.17780807244753882	3	3473	0	0	0	0	0	5	12	34	0	1	0	124	0	0.0
0.17605530941136374	3	3441	0	0	0	0	0	5	11	34	0	1	0	121	0	0.0
0.17396173134037685	3	3403	0	0	0	0	0	5	11	32	0	1	0	118	0	0.0
0.17186815326938995	3	3365	0	0	0	0	0	5	11	32	0	1	0	113	0	0.0
0.16992063878475097	3	3333	0	0	0	0	0	3	11	29	0	1	0	110	0	0.0
0.16787574857588003	3	3297	0	0	0	0	0	3	10	29	0	1	0	105	0	0.0
0.1664151127124008	3	3273	0	0	0	0	0	3	10	29	0	1	0	99	0	0.0
0.16466234967622573	3	3241	0	0	0	0	0	3	9	28	0	1	0	97	0	0.0
0.16261745946735479	3	3204	0	0	0	0	0	3	9	27	0	1	0	93	0	0.0
0.16110813574175958	2	3175	0	0	0	0	0	3	9	27	0	1	0	92	0	0.0
0.15872243049807683	2	3130	0	0	0	0	0	2	9	26	0	1	0	90	0	0.0
0.15716441891036564	2	3100	0	0	0	0	0	2	9	25	0	1	0	89	0	0.0
0.15502215297726277	2	3058	0	0	0	0	0	2	9	25	0	1	0	87	0	0.0
0.15297726276839185	2	3020	0	0	0	0	0	2	9	24	0	1	0	84	0	0.0
0.15107843614586883	2	2983	0	0	0	0	0	2	9	24	0	1	0	82	0	0.0
0.1486927309021861	2	2942	0	0	0	0	0	2	8	24	0	1	0	75	0	0.0
0.1471347193144749	2	2912	0	0	0	0	0	2	8	24	0	1	0	73	0	0.0
0.1457714591752276	2	2889	0	0	0	0	0	2	8	22	0	1	0	70	0	0.0
0.1437265689663567	2	2852	0	0	0	0	0	2	8	21	0	1	0	66	0	0.0
0.1422172452407615	2	2822	0	0	0	0	0	2	8	21	0	1	0	65	0	0.0
0.14061054579093432	2	2791	0	0	0	0	0	2	8	20	0	1	0	64	0	0.0
0.13910122206533912	2	2763	0	0	0	0	0	2	7	20	0	1	0	62	0	0.0
0.13744583475339597	2	2731	0	0	0	0	0	2	7	18	0	1	0	62	0	0.0
0.13579044744145286	2	2701	0	0	0	0	0	2	7	17	0	1	0	59	0	0.0
0.13442718730220557	1	2678	0	0	0	0	0	2	7	17	0	0	0	56	0	0.0
0.1337942450946979	1	2666	0	0	0	0	0	2	7	16	0	0	0	56	0	0.0
0.1322362335069867	1	2637	0	0	0	0	0	2	6	15	0	0	0	55	0	0.0
0.13062953405715955	1	2607	0	0	0	0	0	2	6	14	0	0	0	53	0	0.0
0.12931496178002824	1	2585	0	0	0	0	0	2	6	13	0	0	0	49	0	0.0
0.12809776522712887	1	2562	0	0	0	0	0	2	6	11	0	0	0	49	0	0.0
0.1267345050878816	1	2538	0	0	0	0	0	2	6	11	0	0	0	45	0	0.0
0.12498174205170651	1	2504	0	0	0	0	0	2	6	11	0	0	0	43	0	0.0
0.12381323336092312	1	2484	0	0	0	0	0	1	5	11	0	0	0	41	0	0.0
0.12240128535955987	1	2456	0	0	0	0	0	1	5	10	0	0	0	41	0	0.0
0.12113540094454453	1	2432	0	0	0	0	0	1	5	10	0	0	0	39	0	0.0
0.12021033156434101	1	2415	0	0	0	0	0	1	4	9	0	0	0	39	0	0.0
0.11923657432202152	1	2399	0	0	0	0	0	1	4	8	0	0	0	36	0	0.0
0.11792200204489021	1	2375	0	0	0	0	0	1	4	8	0	0	0	33	0	0.0
0.11685086907833878	1	2354	0	0	0	0	0	1	4	8	0	0	0	32	0	0.0
0.11558498466332344	1	2329	0	0	0	0	0	1	3	8	0	0	0	32	0	0.0
0.11436778811042407	1	2307	0	0	0	0	0	1	3	6	0	0	0	31	0	0.0
0.11354009445445251	1	2290	0	0	0	0	0	1	3	6	0	0	0	31	0	0.0
0.11217683431520523	1	2264	0	0	0	0	0	1	2	5	0	0	0	31	0	0.0
0.11071619845172598	1	2235	0	0	0	0	0	1	2	4	0	0	0	31	0	0.0
0.10969375334729052	1	2215	0	0	0	0	0	1	2	4	0	0	0	30	0	0.0
0.10847655679439115	1	2192	0	0	0	0	0	1	2	4	0	0	0	28	0	0.0
0.1074541116899557	1	2173	0	0	0	0	0	1	2	3	0	0	0	27	0	0.0
0.10633429086128827	1	2152	0	0	0	0	0	1	2	2	0	0	0	26	0	0.0
0.10521447003262087	1	2130	0	0	0	0	0	1	2	2	0	0	0	25	0	0.0
0.10404596134183748	1	2106	0	0	0	0	0	1	2	2	0	0	0	25	0	0.0
0.10282876478893811	1	2084	0	0	0	0	0	1	2	1	0	0	0	23	0	0.0
0.10214713471931447	1	2071	0	0	0	0	0	1	2	1	0	0	0	22	0	0.0
0.10131944106334291	1	2055	0	0	0	0	0	1	1	1	0	0	0	22	0	0.0
0.10058912313160329	1	2042	0	0	0	0	0	1	0	1	0	0	0	21	0	0.0
0.09985880519986368	1	2028	0	0	0	0	0	1	0	0	0	0	0	21	0	0.0
0.09912848726812405	1	2014	0	0	0	0	0	1	0	0	0	0	0	20	0	0.0
0.09800866643945665	1	1991	0	0	0	0	0	1	0	0	0	0	0	20	0	0.0
0.09688884561078923	1	1969	0	0	0	0	0	1	0	0	0	0	0	19	0	0.0
0.09591508836846974	1	1950	0	0	0	0	0	1	0	0	0	0	0	18	0	0.0
0.09518477043673013	1	1935	0	0	0	0	0	1	0	0	0	0	0	18	0	0.0
0.09421101319441064	0	1916	0	0	0	0	0	1	0	0	0	0	0	18	0	0.0
0.09328594381420711	0	1898	0	0	0	0	0	1	0	0	0	0	0	17	0	0.0
0.09250693802035152	0	1882	0	0	0	0	0	1	0	0	0	0	0	17	0	0.0
0.09158186864014801	0	1863	0	0	0	0	0	1	0	0	0	0	0	17	0	0.0
0.09080286284629242	0	1847	0	0	0	0	0	1	0	0	0	0	0	17	0	0.0
0.0900725449145528	0	1832	0	0	0	0	0	1	0	0	0	0	0	17	0	0.0
0.08924485125858124	0	1815	0	0	0	0	0	1	0	0	0	0	0	17	0	0.0
0.08841715760260967	0	1800	0	0	0	0	0	1	0	0	0	0	0	15	0	0.0
0.08729733677394226	0	1779	0	0	0	0	0	1	0	0	0	0	0	13	0	0.0
0.08676177029066653	0	1768	0	0	0	0	0	1	0	0	0	0	0	13	0	0.0
0.08612882808315887	0	1756	0	0	0	0	0	1	0	0	0	0	0	12	0	0.0
0.08525244656507133	0	1739	0	0	0	0	0	1	0	0	0	0	0	11	0	0.0
0.08442475290909976	0	1722	0	0	0	0	0	1	0	0	0	0	0	11	0	0.0
0.08384049856370807	0	1710	0	0	0	0	0	1	0	0	0	0	0	11	0	0.0
0.08325624421831637	0	1698	0	0	0	0	0	1	0	0	0	0	0	11	0	0.0
0.08247723842446078	0	1682	0	0	0	0	0	1	0	0	0	0	0	11	0	0.0
