Percent subgroups	3_GP_06_08_10_	4_GP_06_08_09_10_	2_GP_06_09_	2_GP_06_08_	1_GP_09_	1_GP_08_	2_GP_08_10_	3_GP_06_09_10_	2_GP_06_10_	3_GP_06_08_09_	1_GP_06_	2_GP_08_09_	1_GP_10_	3_GP_08_09_10_	2_GP_09_10_	OnePepPercent
1.0	7200	1777672	1006	292	3186	1354	4926	8264	20784	22996	3864	16138	17938	139712	9802	0.2953456104944501
1.0	7200	1777672	1006	292	3186	1354	4926	8264	20784	22996	3864	16138	17938	139712	9802	0.2953456104944501
0.8223379911388091	7200	1777672	1006	292	1472	352	4926	8264	20784	22996	3120	16138	14100	139712	9802	0.09171999224355246
0.7434636545109304	7200	1777672	962	260	764	140	4534	8264	20656	22996	2296	15458	11208	139712	9234	0.03856355845745766
0.6918058328058815	7152	1777672	848	206	440	68	4030	8222	20188	22960	2110	14360	9030	139262	8442	0.019809086341778512
0.6503724621451872	7048	1777664	712	150	216	52	3558	8158	19668	22888	1766	13264	7126	138406	7506	0.01189303840618135
0.6180924095622962	6958	1777604	522	130	126	42	2998	8048	19018	22748	1516	12314	5696	137096	6736	0.007779630070651742
0.5915575247090901	6790	1777412	450	118	66	30	2626	7880	18274	22544	1336	11426	4616	135620	5824	0.006044547486958682
0.5684307902040021	6608	1777090	436	76	66	30	2290	7558	17602	22208	1154	10642	3972	133492	5138	0.005079201101928375
0.5458883100443059	6448	1776546	404	76	18	30	1970	7414	16850	21728	866	9842	3236	130884	4642	0.0035803795202291443
0.5270947952675398	6250	1775844	386	58	0	30	1628	7162	16274	21242	704	9158	2714	128382	4174	0.0026859312772066313
0.5108330493208043	6190	1775064	346	58	0	30	1368	6882	15674	20942	584	8538	2274	125602	3774	0.0022927015666794038
0.4948147426846487	5948	1773964	324	58	0	30	1192	6574	15080	20766	518	7900	1944	122764	3026	0.0017742730409068506
0.4803544476362043	5756	1772668	300	58	0	30	1168	6310	14168	20454	494	7252	1800	119884	2618	0.0015226880519744188
0.4667218462437314	5366	1770926	222	32	0	30	934	6154	13622	20090	416	6888	1566	117024	2410	0.0010442773600668337
0.4536248113345343	5170	1769022	222	32	0	30	822	5958	13118	19810	416	6272	1342	113776	2158	8.593833924159416E-4
0.4414528458055407	5080	1766742	222	32	0	0	762	5688	12698	19420	386	5762	1222	110806	1828	8.830996798763661E-4
0.42884268951750326	4888	1764182	190	0	0	0	698	5272	11994	19004	354	5314	1062	107862	1540	9.090909090909091E-4
0.41798529626564096	4752	1761734	190	0	0	0	596	5034	11450	18766	320	4532	858	105040	1506	5.827505827505828E-4
0.4070792151516627	4500	1758854	118	0	0	0	596	4890	10982	18298	320	4100	750	101944	1362	4.7864066052411155E-4
0.3968060762451921	4386	1756270	80	0	0	0	482	4738	10602	17804	320	3758	674	98448	1134	4.910385465259023E-4
0.3871171916841131	4186	1753470	80	0	0	0	402	4458	10122	17364	200	3598	634	95328	894	5.033345916698125E-4
0.37869419153804956	3934	1750152	80	0	0	0	360	4332	9912	17196	200	3220	634	92598	852	3.858520900321543E-4
0.3711962607721895	3802	1747072	80	0	0	0	316	4156	9384	17020	156	3000	546	90310	852	3.936491274111009E-4
0.36233506986708214	3710	1743576	80	0	0	0	224	3880	9108	16606	156	2678	546	86952	806	1.3439053890606102E-4
0.35376600613467063	3518	1739784	80	0	0	0	224	3688	8676	16126	156	2486	546	83928	662	1.3764624913971095E-4
0.34621938750669456	3518	1736084	80	0	0	0	224	3488	8376	15926	156	2186	496	81028	562	0.0
0.33911095963776233	3518	1731976	80	0	0	0	224	3384	8116	15770	156	2030	444	78272	562	0.0
0.3318077803203661	3302	1727548	80	0	0	0	116	3330	7900	15446	156	1760	444	75896	454	0.0
0.3248454160377818	3246	1723796	80	0	0	0	60	3162	7508	15054	156	1704	444	72816	398	0.0
0.3183699303763572	3188	1719562	80	0	0	0	60	3104	7392	14532	156	1588	386	70264	398	0.0
0.3127221383709041	3188	1715842	80	0	0	0	0	2984	7152	14292	156	1528	386	67744	398	0.0
0.30697697064121915	3188	1711130	80	0	0	0	0	2984	6904	14044	156	1342	386	65946	274	0.0
0.30176736939480986	3060	1706906	80	0	0	0	0	2984	6520	13724	156	1278	386	64282	210	0.0
0.2969472710453284	3060	1703012	80	0	0	0	0	2918	6124	13460	156	1146	386	62500	210	0.0
0.2912021033156434	2992	1697640	80	0	0	0	0	2782	5988	12984	156	1146	318	60732	210	0.0
0.28613856565558204	2852	1692950	80	0	0	0	0	2712	5708	12844	156	1146	318	58772	210	0.0
0.2809289644091728	2564	1688126	80	0	0	0	0	2712	5492	12412	156	1074	174	57116	138	0.0
0.27630361750815524	2416	1683612	80	0	0	0	0	2490	5344	12264	156	926	174	55414	138	0.0
0.2713861434344418	2416	1678824	80	0	0	0	0	2490	4964	12188	80	926	174	53058	138	0.0
0.26729636301669996	2416	1674378	80	0	0	0	0	2490	4730	11876	80	926	174	51498	138	0.0
0.2635473976337699	2416	1669978	0	0	0	0	0	2250	4650	11796	0	926	94	50378	138	0.0
0.25794829349043286	2170	1663582	0	0	0	0	0	2250	4486	11468	0	762	94	48246	138	0.0
0.2528847558303715	2086	1657114	0	0	0	0	0	2166	4234	11300	0	762	94	46566	138	0.0
0.24835678465358585	1914	1651266	0	0	0	0	0	2080	4234	11300	0	676	94	44760	138	0.0
0.24460781927065584	1826	1645722	0	0	0	0	0	1816	4058	11212	0	676	94	44144	138	0.0
0.24115098106042163	1646	1640592	0	0	0	0	0	1816	4058	11122	0	586	94	43244	138	0.0
0.23827839719557914	1646	1636544	0	0	0	0	0	1724	3966	10938	0	402	94	42416	138	0.0
