Percent subgroups	3_GP_06_08_10_	4_GP_06_08_09_10_	2_GP_06_09_	2_GP_06_08_	1_GP_09_	1_GP_08_	2_GP_08_10_	3_GP_06_09_10_	2_GP_06_10_	3_GP_06_08_09_	1_GP_06_	2_GP_08_09_	1_GP_10_	3_GP_08_09_10_	2_GP_09_10_	OnePepPercent
1.0	5816	1272692	752	240	2806	1208	4052	7238	19222	11610	3282	10928	16458	104174	8220	0.3634988656415427
1.0	5816	1272692	752	240	2806	1208	4052	7238	19222	11610	3282	10928	16458	104174	8220	0.3634988656415427
0.7871448819868121	5816	1272692	752	240	1208	310	4052	7238	19222	11610	2572	10928	12756	104174	8220	0.10694167605511742
0.6962469957478277	5816	1272692	716	208	592	122	3688	7238	19110	11610	1864	10376	10008	104174	7676	0.04359874376501016
0.6391816108954212	5792	1272692	632	184	334	68	3244	7220	18660	11592	1720	9512	8004	103778	6902	0.021670606776989756
0.5943181117889936	5720	1272684	560	136	190	52	2908	7156	18260	11544	1432	8688	6164	102962	6054	0.013025210084033614
0.5597461021753867	5680	1272634	390	116	130	42	2358	7076	17720	11434	1222	8008	4804	101942	5344	0.008214008214008214
0.53256917483207	5572	1272538	330	104	82	30	2070	6944	17060	11290	1042	7324	3892	100754	4576	0.006170683432297124
0.5084735317680409	5446	1272328	316	76	68	30	1818	6678	16430	11024	902	6750	3276	98976	4016	0.005116335729077841
0.48665803907068467	5334	1271960	300	76	36	30	1578	6550	15662	10736	742	6174	2652	97056	3584	0.0035582666158342864
0.46823195908054477	5154	1271474	282	58	0	30	1380	6334	15230	10412	634	5706	2130	95076	3188	0.002771545466543487
0.4506686386886054	5054	1270714	242	58	0	30	1120	6134	14630	10232	514	5286	1710	92856	2808	0.0023300438596491227
0.43427620632279534	4856	1269878	242	58	0	30	966	5716	14036	10100	404	4824	1380	90810	2236	0.0017057569296375266
0.4193627904110433	4664	1268750	242	58	0	30	918	5524	13268	9932	404	4392	1308	88314	1924	0.001324308416715715
0.40722253035065015	4378	1267658	190	32	0	30	788	5394	12774	9828	378	4054	1048	86286	1768	9.088155104513784E-4
0.39563690146052877	4322	1266566	190	32	0	30	676	5198	12298	9604	378	3522	880	84018	1628	7.79423226812159E-4
0.38349664140013556	4262	1264676	190	32	0	0	616	4958	11878	9394	348	3252	760	81678	1388	8.041170794467674E-4
0.3716028840820854	4038	1263108	190	0	0	0	520	4510	11238	9202	316	2996	632	79374	1132	8.298755186721991E-4
0.36242065692980835	3970	1261374	190	0	0	0	486	4374	10796	8998	316	2520	530	77538	1098	5.103776794828172E-4
