Percent subgroups	4_GP_01_02_03_09_	3_GP_09_10_14_	2_GP_02_09_	3_GP_01_02_09_	2_GP_03_09_	3_GP_01_03_10_	3_GP_02_03_10_	3_GP_01_03_14_	3_GP_02_03_14_	2_GP_02_14_	4_GP_03_09_10_14_	3_GP_02_03_09_	5_GP_01_02_03_09_14_	2_GP_02_10_	4_GP_01_02_09_14_	4_GP_01_09_10_14_	3_GP_01_10_14_	5_GP_01_02_03_09_10_	1_GP_09_	4_GP_01_02_09_10_	1_GP_01_	3_GP_03_10_14_	5_GP_02_03_09_10_14_	3_GP_02_09_14_	2_GP_03_10_	6_GP_01_02_03_09_10_14_	2_GP_01_03_	5_GP_01_03_09_10_14_	3_GP_02_09_10_	2_GP_03_14_	2_GP_02_03_	2_GP_09_14_	5_GP_01_02_03_10_14_	5_GP_01_02_09_10_14_	4_GP_01_02_10_14_	4_GP_02_03_09_10_	3_GP_01_02_03_	4_GP_02_03_09_14_	1_GP_14_	2_GP_01_10_	1_GP_02_	2_GP_01_02_	4_GP_01_03_10_14_	1_GP_10_	2_GP_01_14_	2_GP_09_10_	3_GP_01_03_09_	2_GP_10_14_	3_GP_01_02_10_	4_GP_01_03_09_10_	4_GP_01_02_03_10_	3_GP_01_02_14_	4_GP_01_02_03_14_	1_GP_03_	4_GP_02_03_10_14_	4_GP_01_03_09_14_	3_GP_02_10_14_	3_GP_03_09_10_	3_GP_01_09_14_	2_GP_01_09_	4_GP_02_09_10_14_	3_GP_01_09_10_	3_GP_03_09_14_	OnePepPercent
1.0	45	27	186	266	49	7	12	4	11	57	14	19	78	94	102	17	9	395	735	519	427	2	21	39	14	2312	7	12	105	7	21	83	22	440	53	29	18	14	366	44	817	309	2	297	27	120	15	21	169	16	27	51	6	158	5	5	20	34	12	78	41	43	10	0.31374560375146543
1.0	45	27	186	266	49	7	12	4	11	57	14	19	78	94	102	17	9	395	735	519	427	2	21	39	14	2312	7	12	105	7	21	83	22	440	53	29	18	14	366	44	817	309	2	297	27	120	15	21	169	16	27	51	6	158	5	5	20	34	12	78	41	43	10	0.31374560375146543
0.7366424986056888	45	27	186	266	49	7	12	4	11	57	14	19	78	94	102	17	9	395	148	519	34	2	21	39	14	2312	7	12	105	7	21	83	22	440	53	29	18	14	62	44	126	309	2	63	27	120	15	21	169	16	27	51	6	6	5	5	20	34	12	78	41	43	10	0.07103470645475186
0.6407138873396542	45	27	91	266	23	7	12	4	11	31	14	19	78	48	102	17	9	395	50	519	5	2	21	39	6	2312	2	12	105	3	8	44	22	440	53	29	18	14	14	19	18	179	2	15	14	77	15	13	169	16	27	51	6	2	5	5	20	34	12	34	41	43	10	0.03235082674335011
0.5853876185164528	45	24	45	218	19	6	8	3	10	13	14	16	78	21	102	17	7	395	19	519	3	2	21	34	4	2312	1	12	82	1	3	26	22	440	53	29	11	14	7	9	5	95	2	6	4	46	9	8	157	16	27	40	6	1	5	5	17	27	11	15	41	33	7	0.020614546868922598
0.5451199107640825	42	19	15	164	13	4	5	2	6	7	13	11	78	11	99	16	5	395	10	509	0	1	21	25	3	2312	0	12	62	0	0	18	22	440	50	29	6	14	3	7	1	61	2	1	3	30	5	6	124	15	27	26	5	0	4	5	15	21	8	7	41	25	6	0.012849740932642488
0.5105409927495818	36	14	8	128	8	3	3	0	5	3	11	4	77	4	92	14	4	393	6	478	0	1	21	19	3	2312	0	12	47	0	0	9	22	440	44	27	5	13	2	1	1	33	2	1	1	15	5	2	102	13	22	15	4	0	2	3	6	15	6	4	37	14	5	0.008594094314676068
0.4861126603457892	34	8	6	101	5	2	0	0	4	2	9	0	77	2	82	12	2	386	4	453	0	1	21	14	2	2312	0	10	32	0	0	6	21	437	36	24	2	13	0	0	1	25	1	1	1	9	5	1	79	11	20	11	4	0	2	1	3	12	5	1	29	12	4	0.007397133610725843
0.46536530953708866	28	5	4	81	3	1	0	0	2	1	8	0	75	1	72	10	1	378	3	423	0	1	20	11	1	2311	0	9	23	0	0	6	20	433	31	20	2	8	0	0	1	15	0	1	1	5	1	1	70	9	13	9	3	0	2	1	2	10	3	0	23	6	4	0.0057859209257473485
0.44852203011712216	25	2	3	65	3	0	0	0	1	1	6	0	73	1	67	6	0	367	1	393	0	0	20	6	0	2309	0	9	20	0	0	3	20	424	26	16	1	8	0	0	1	7	0	1	1	4	0	1	57	9	10	6	3	0	2	0	1	10	3	0	21	5	3	0.0049987503124218945
0.43368655883993307	21	1	3	53	3	0	0	0	1	1	6	0	73	0	58	5	0	355	1	373	0	0	20	4	0	2301	0	9	13	0	0	2	17	416	19	13	1	6	0	0	0	6	0	1	0	1	0	1	46	7	6	5	2	0	2	0	1	7	2	0	19	4	3	0.004132231404958678
0.41840490797546015	17	1	3	44	1	0	0	0	0	1	5	0	68	0	49	3	0	345	1	344	0	0	19	4	0	2293	0	9	12	0	0	0	13	400	13	12	0	5	0	0	0	6	0	1	0	1	0	1	37	4	4	4	1	0	2	0	1	4	2	0	17	2	2	0.0034777956126270733
0.40501952035694366	15	0	3	38	0	0	0	0	0	0	4	0	63	0	43	3	0	336	0	308	0	0	18	4	0	2281	0	9	8	0	0	0	11	393	11	8	0	4	0	0	0	6	0	1	0	1	0	1	32	4	4	2	0	0	2	0	1	2	1	0	12	2	0	0.0027616680475006906
0.38973786949247075	9	0	1	34	0	0	0	0	0	0	3	0	60	0	38	3	0	317	0	281	0	0	14	4	0	2269	0	7	4	0	0	0	10	368	9	7	0	4	0	0	0	3	0	1	0	1	0	1	25	2	3	2	0	0	1	0	0	2	1	0	10	0	0	0.0028702640642939152
0.3795872838817624	8	0	1	31	0	0	0	0	0	0	3	0	54	0	36	3	0	306	0	261	0	0	11	3	0	2256	0	6	3	0	0	0	9	352	8	4	0	4	0	0	0	2	0	1	0	1	0	1	24	2	0	2	0	0	1	0	0	2	1	0	7	0	0	0.0026517383618149676
0.37077523703290577	7	0	1	28	0	0	0	0	0	0	2	0	52	0	32	2	0	289	0	242	0	0	8	2	0	2244	0	5	3	0	0	0	8	344	7	4	0	4	0	0	0	1	0	1	0	1	0	1	22	2	0	2	0	0	0	0	0	2	1	0	7	0	0	0.0012048192771084338
0.3615170105967652	6	0	1	26	0	0	0	0	0	0	0	0	47	0	29	1	0	282	0	221	0	0	5	2	0	2230	0	5	3	0	0	0	7	333	4	3	0	3	0	0	0	1	0	0	0	1	0	1	16	2	0	2	0	0	0	0	0	2	1	0	7	0	0	0.001235712079085573
0.3543781372002231	6	0	1	24	0	0	0	0	0	0	0	0	44	0	27	0	0	272	0	208	0	0	5	2	0	2217	0	4	2	0	0	0	6	322	4	3	0	3	0	0	0	0	0	0	0	1	0	1	14	2	0	1	0	0	0	0	0	1	1	0	6	0	0	9.45179584120983E-4
0.3438929168990519	4	0	0	21	0	0	0	0	0	0	0	0	37	0	23	0	0	265	0	197	0	0	5	1	0	2188	0	2	2	0	0	0	5	302	3	2	0	3	0	0	0	0	0	0	0	0	0	1	13	2	0	1	0	0	0	0	0	1	1	0	4	0	0	6.491398896462187E-4
0.3350808700501952	4	0	0	18	0	0	0	0	0	0	0	0	31	0	22	0	0	255	0	183	0	0	5	1	0	2164	0	2	2	0	0	0	4	291	3	2	0	1	0	0	0	0	0	0	0	0	0	1	7	2	0	1	0	0	0	0	0	1	1	0	3	0	0	6.662225183211193E-4
