Percent subgroups	4_GP_01_02_03_09_	3_GP_09_10_14_	2_GP_02_09_	3_GP_01_02_09_	2_GP_03_09_	3_GP_01_03_10_	3_GP_02_03_10_	3_GP_01_03_14_	3_GP_02_03_14_	2_GP_02_14_	4_GP_03_09_10_14_	3_GP_02_03_09_	5_GP_01_02_03_09_14_	2_GP_02_10_	4_GP_01_02_09_14_	4_GP_01_09_10_14_	3_GP_01_10_14_	5_GP_01_02_03_09_10_	1_GP_09_	4_GP_01_02_09_10_	1_GP_01_	3_GP_03_10_14_	5_GP_02_03_09_10_14_	3_GP_02_09_14_	2_GP_03_10_	6_GP_01_02_03_09_10_14_	2_GP_01_03_	5_GP_01_03_09_10_14_	3_GP_02_09_10_	2_GP_03_14_	2_GP_02_03_	2_GP_09_14_	5_GP_01_02_03_10_14_	5_GP_01_02_09_10_14_	4_GP_01_02_10_14_	4_GP_02_03_09_10_	3_GP_01_02_03_	4_GP_02_03_09_14_	1_GP_14_	2_GP_01_10_	1_GP_02_	2_GP_01_02_	4_GP_01_03_10_14_	1_GP_10_	2_GP_01_14_	2_GP_09_10_	3_GP_01_03_09_	2_GP_10_14_	3_GP_01_02_10_	4_GP_01_03_09_10_	4_GP_01_02_03_10_	3_GP_01_02_14_	4_GP_01_02_03_14_	1_GP_03_	4_GP_02_03_10_14_	4_GP_01_03_09_14_	3_GP_02_10_14_	3_GP_03_09_10_	3_GP_01_09_14_	2_GP_01_09_	4_GP_02_09_10_14_	3_GP_01_09_10_	3_GP_03_09_14_	OnePepPercent	OnePepPercentSpec
1.0	540	155	558	2274	176	37	52	17	62	174	126	88	1765	276	1422	146	46	19182	978	10962	469	12	316	253	47	451844	17	182	635	18	53	280	297	17473	506	291	82	151	454	124	971	1058	13	392	79	434	70	118	1395	155	217	297	46	167	40	30	107	221	96	217	433	232	64	0.31374560375146543	0.006068659335721024
1.0	540	155	558	2274	176	37	52	17	62	174	126	88	1765	276	1422	146	46	19182	978	10962	469	12	316	253	47	451844	17	182	635	18	53	280	297	17473	506	291	82	151	454	124	971	1058	13	392	79	434	70	118	1395	155	217	297	46	167	40	30	107	221	96	217	433	232	64	0.31374560375146543	0.006068659335721024
0.7366424986056888	540	155	558	2274	176	37	52	17	62	174	126	88	1765	276	1422	146	46	19182	391	10962	76	12	316	253	47	451844	17	182	635	18	53	280	297	17473	506	291	82	151	150	124	280	1058	13	158	79	434	70	118	1395	155	217	297	46	15	40	30	107	221	96	217	433	232	64	0.07103470645475186	0.0027734624254025886
0.6407138873396542	540	155	368	2274	124	37	52	17	62	122	126	88	1765	184	1422	146	46	19182	195	10962	18	12	316	253	31	451844	7	182	635	10	27	202	297	17473	506	291	82	151	54	74	64	798	13	62	53	348	70	102	1395	155	217	297	46	7	40	30	107	221	96	129	433	232	64	0.03235082674335011	0.0017768377342791658
0.5853876185164528	540	146	230	2130	112	34	40	14	59	68	126	79	1765	103	1422	146	40	19182	102	10962	12	12	316	238	25	451844	4	182	566	4	12	148	297	17473	506	291	61	151	33	44	25	546	13	35	23	255	52	87	1359	155	217	264	46	4	40	30	98	200	93	72	433	202	55	0.020614546868922598	0.0013485835001198524
0.5451199107640825	528	126	110	1914	88	26	28	10	43	44	122	59	1765	63	1410	142	32	19182	66	10922	0	8	316	202	21	451844	0	182	486	0	0	116	297	17473	494	291	41	151	17	36	9	410	13	15	19	191	36	79	1227	151	217	208	42	0	36	30	90	176	81	40	433	170	51	0.012849740932642488	0.0010080822407558272
0.5105409927495818	498	101	75	1734	63	21	18	0	38	24	112	24	1760	28	1375	132	27	19172	46	10767	0	8	316	172	21	451844	0	182	411	0	0	71	297	17473	464	281	36	146	12	6	9	270	13	15	9	116	36	59	1117	141	192	153	37	0	26	20	45	146	71	25	413	115	46	0.008594094314676068	7.856152091969877E-4
0.4861126603457892	486	65	63	1572	45	15	0	0	32	18	100	0	1760	16	1315	120	15	19130	34	10617	0	8	316	142	15	451844	0	170	321	0	0	53	291	17455	416	263	18	146	0	0	9	222	7	15	9	80	36	53	979	129	180	129	37	0	26	8	27	128	65	7	365	103	40	0.007397133610725843	7.050884208376215E-4
0.46536530953708866	444	44	49	1432	31	8	0	0	18	11	93	0	1746	9	1245	106	8	19074	27	10407	0	8	309	121	8	451837	0	163	258	0	0	53	284	17427	381	235	18	111	0	0	9	152	0	15	9	52	8	53	916	115	131	115	30	0	26	8	20	114	51	0	323	61	40	0.0057859209257473485	5.96562383099368E-4
0.44852203011712216	420	20	41	1304	31	0	0	0	10	11	77	0	1730	9	1205	74	0	18986	11	10167	0	0	309	81	0	451821	0	163	234	0	0	29	284	17355	341	203	10	111	0	0	9	88	0	15	9	44	0	53	812	115	107	91	30	0	26	0	12	114	51	0	307	53	32	0.0049987503124218945	5.347973492996326E-4
