KEGG	Percent	Count
K02796	0.000572541	58
K11085	0.000434342	44
K02795	0.000177685	18
K13582	0.000365242	37
K02794	0.000839069	85
K06142	1.97428E-05	2
K00688	0.000927912	94
K00703	0.000819326	83
K00975	0.000463956	47
K00975	0.000483699	49
K00700	0.000888426	90
K17737	9.8714E-06	1
K09681	2.96142E-05	3
K00812	1.97428E-05	2
K09157	0.00112534	114
K00876	7.89712E-05	8
K07240	6.90998E-05	7
K07240	3.94856E-05	4
K01991	1.97428E-05	2
K03524	0.000217171	22
K01872	0.000118457	12
K01596	6.90998E-05	7
K02528	0.0001382	14
K07692	1.97428E-05	2
K07166	0.000118457	12
K01139	9.8714E-05	10
K02838	5.92284E-05	6
K09903	0.000108585	11
K03978	4.9357E-05	5
K01338	0.0001382	14
K03924	7.89712E-05	8
K07053	2.96142E-05	3
K23253	0.000463956	47
K22135	0.001066111	108
K07213	1.97428E-05	2
K06158	0.000118457	12
K00390	3.94856E-05	4
K01929	8.88426E-05	9
K15580	0.000414599	42
K05592	0.000908169	92
K01915	0.000128328	13
K02855	6.90998E-05	7
K16053	2.96142E-05	3
K21755	7.89712E-05	8
K03655	1.97428E-05	2
K00048	0.0001382	14
K02890	9.8714E-06	1
K02965	7.89712E-05	8
K02886	0.000108585	11
K02391	0.000177685	18
K20976	0.000197428	20
K07705	0.000167814	17
K01439	0.000236914	24
K02343	1.97428E-05	2
K17319	0.000552798	56
K17318	0.002457979	249
K07720	0.001016754	103
K06196	0.000236914	24
K01206	0.001095725	111
K09118	3.94856E-05	4
K20509	0.000118457	12
K17320	0.000414599	42
K03703	0.000335628	34
K02784	0.00154981	157
K07456	0.000276399	28
K09952	1.97428E-05	2
K03584	0.000118457	12
K03595	0.000217171	22
K00790	0.000217171	22
K03604	9.8714E-05	10
K03111	1.97428E-05	2
K01619	0.002102608	213
K00789	0.001036497	105
K00948	0.000819326	83
K00661	9.8714E-06	1
K01552	8.88426E-05	9
K02574	5.92284E-05	6
K03569	0.000414599	42
K00286	3.94856E-05	4
K21472	0.000108585	11
K01462	1.97428E-05	2
K07405	1.97428E-05	2
K00067	5.92284E-05	6
K16150	0.000187557	19
K01990	3.94856E-05	4
K24289	1.97428E-05	2
K18640	7.89712E-05	8
K01356	0.000108585	11
K18475	1.97428E-05	2
K01273	1.97428E-05	2
K00702	6.90998E-05	7
K09458	5.92284E-05	6
K15583	4.9357E-05	5
K01869	5.92284E-05	6
K07260	9.8714E-05	10
K22409	0.000266528	27
K02956	1.97428E-05	2
K13010	1.97428E-05	2
K03558	7.89712E-05	8
K23617	3.94856E-05	4
K00971	1.97428E-05	2
K03499	1.97428E-05	2
K00058	0.001095725	111
K00831	0.001016754	103
K03555	1.97428E-05	2
K21636	1.97428E-05	2
K01893	0.001381996	140
K13195	0.010325485	1046
K07079	3.94856E-05	4
K12373	9.8714E-05	10
K03298	1.97428E-05	2
K19294	3.94856E-05	4
K05919	7.89712E-05	8
K03613	0.000157942	16
K03612	5.92284E-05	6
K00008	9.8714E-05	10
K00656	7.89712E-05	8
K02003	4.9357E-05	5
K02030K10036	0.000592284	60
K03702	0.001697881	172
K03784	0.000276399	28
K03574	0.000276399	28
K01489	2.96142E-05	3
K23059	3.94856E-05	4
K01839	7.89712E-05	8
K23059	4.9357E-05	5
K01990	5.92284E-05	6
K02935	3.94856E-05	4
K02836	0.000217171	22
K03070	0.00084894	86
K01091	1.97428E-05	2
K00812	0.000345499	35
K01358	3.94856E-05	4
K03544	2.96142E-05	3
K18303	0.0001382	14
K03798	5.92284E-05	6
K03784	3.94856E-05	4
K21636	3.94856E-05	4
K02909	0.000760098	77
K02895	3.94856E-05	4
K02931	4.9357E-05	5
K09121	0.000128328	13
K06898	2.96142E-05	3
K06864	1.97428E-05	2
K01611	5.92284E-05	6
K01585	0.000227042	23
K19824	0.000128328	13
K00797	0.000197428	20
K01480	0.000157942	16
K13746	0.000602155	61
K13747	0.000207299	21
K01209	0.00035537	36
K02099	2.96142E-05	3
K01876	0.000829198	84
K01892	0.000937783	95
K01869	5.92284E-05	6
K09690	0.000177685	18
K00425	1.97428E-05	2
K09157	0.000365242	37
K03551	1.97428E-05	2
K22994	0.000246785	25
K22927	1.97428E-05	2
K01465	3.94856E-05	4
K00262	3.94856E-05	4
K01271	3.94856E-05	4
K00970	1.97428E-05	2
K01153	9.8714E-06	1
K14059	0.000148071	15
K01193	0.000434342	44
K02343	5.92284E-05	6
K09747	1.97428E-05	2
K06187	3.94856E-05	4
K01914	9.8714E-06	1
