KEGG	Percent	Count
K01448	0.001087233	49
K06925	0.000576899	26
K14742	0.00113161	51
K13653	0.00084316	38
K03789	0.000599088	27
K07706	0.000931914	42
K21021	0.001908205	86
K02760	0.00042158	19
K19055	0.00042158	19
K03768	0.001020668	46
K05592	0.003261699	147
K03649	0.000510334	23
K00764	0.003084192	139
K00784	0.001597567	72
K03335	0.001264741	57
K06608	0.001619756	73
K01409	0.001996959	90
K00432	0.000954103	43
K00991	0.001686321	76
K03332	0.051876553	2338
K07133	0.042513035	1916
K03327	0.001619756	73
K05520	0.000798784	36
K00852	0.001775075	80
K01432	0.03339359	1505
K24204	0.000199696	9
K01811	0.080832457	3643
K03340	0.001641944	74
K01811	0.081342791	3666
K03308	0.002085713	94
K01872	0.000599088	27
K03335	0.001331306	60
K21571	0.05376257	2423
K01624	0.000665653	30
K02099	0.001641944	74
K06605	0.001375683	62
K21572	0.044376863	2000
K22230	0.000954103	43
K21573	0.110409636	4976
K08177	0.002107901	95
K10439	0.001442248	65
K03835	0.001908205	86
K00010	0.001708509	77
K06131	0.002329785	105
K08303	0.001752886	79
K06606	0.001020668	46
K02970	0.000332826	15
K03292	0.003882976	175
K03924	0.001242552	56
K07098	0.001686321	76
K11636	0.002884496	130
K03824	0.00042158	19
K18908	0.002063524	93
K07461	0.00028845	13
K11104	0.002817931	127
K07258	0.001819451	82
K02099	0.001708509	77
K09979	0.000310638	14
K01223	0.00142006	64
K21755	0.000954103	43
K03547	0.000865349	39
K02026	0.001508813	68
K01243	0.00113161	51
K02099	0.001486625	67
K02027	0.002241032	101
K06885	0.000443769	20
K09994	0.000776595	35
K21557	0.060285969	2717
K24085	0.003350453	151
K03816	0.001020668	46
K21453	0.000909726	41
K22226	0.002196655	99
K01198	0.031152558	1404
K21563	0.001464436	66
K00962	0.002706989	122
K11717	0.001708509	77
K01133	0.042734919	1926
K03856	2.22E-05	1
K11927	0.002019147	91
K01008	0.001331306	60
K01209	0.056580501	2550
K01735	0.001109422	50
K00800	0.001264741	57
K02346	0.002462916	111
K15780	0.00184164	83
K01736	0.001175987	53
K07718	0.003017627	136
K14170	0.001353494	61
K00891	0.00042158	19
K01066	0.032483864	1464
K06148	0.001286929	58
K10540	0.001730698	78
K06382	0.002063524	93
K18967	0.001264741	57
K01745	0.002485104	112
K01142	0.000732218	33
K03790	0.000532522	24
K03315	0.00255167	115
K11635	0.001264741	57
K01232	0.00142006	64
K10542	0.002529481	114
K00703	0.001397871	63
K01940	0.001264741	57
K02791	0.001309117	59
K10541	0.002795742	126
K09748	0.00042158	19
K03628	0.001597567	72
K07720	0.000909726	41
K06148	0.002107901	95
K00975	0.001531002	69
K00975	0.001087233	49
K02600	0.001619756	73
K09790	0.000510334	23
K07720	0.001486625	67
K02519	0.004903643	221
K02777	0.000443769	20
K06305	0.000599088	27
K01239	0.000576899	26
K02834	0.000576899	26
K01449	0.000820972	37
K02477	0.000754407	34
K03177	0.001619756	73
K02003	0.001220364	55
K03481	0.000599088	27
K00852	0.003039815	137
K03481	0.000510334	23
K10540	0.00255167	115
K02956	0.000554711	25
K00632	0.002884496	130
K01825	0.003882976	175
K00385	0.002152278	97
K07043	0.001175987	53
K01778	0.001397871	63
K01265	0.001286929	58
K21900	0.001797263	81
K01565	0.040649207	1832
K21572	0.045175647	2036
K19824	0.001109422	50
K21573	0.076771974	3460
K03327	0.002418539	109
K01134	0.046573518	2099
K07493	0.000665653	30
K00945	0.001198175	54
K07493	0.000976291	44
K07486	0.000621276	28
K03688	0.002351974	106
K03425	0.000443769	20
K03424	0.000931914	42
K03182	0.0026848	121
K06445	0.000820972	37
K00757	0.001486625	67
K07348	0.000177507	8
K03183	0.000909726	41
K07349	0.000221884	10
K01436	0.001775075	80
K01507	0.000332826	15
K02073	0.000621276	28
K01463	0.001153798	52
K20021	0.002396351	108
K02027	0.002462916	111
K02026	0.001220364	55
K11176	0.001886017	85
K00008	0.002218843	100
K00602	0.0026848	121
K02003	0.002840119	128
K01048	0.001863828	84
K03576	0.001531002	69
K18673	0.00028845	13
K01223	0.001730698	78
K02761	0.001664132	75
K00549	0.004282367	193
K19776	0.001020668	46
K02198	0.000865349	39
K02033	0.001863828	84
K02034	0.001065045	48
K02031	0.000865349	39
K00883	0.001597567	72
K02032	0.001375683	62
K07685	0.001486625	67
K02200	0.001797263	81
K16089	0.072112403	3250
K03790	0.000576899	26
K07729	0.001020668	46
K07678	0.049702087	2240
K02342	0.001575379	71
K02478	0.033016386	1488
K00355	0.000687841	31
K02477	0.014888438	671
K20203	0.001286929	58
K18954	0.026692683	1203
K00266	0.001752886	79
K11641	0.000820972	37
K18887	0.003084192	139
K07813	0.000865349	39
K18888	0.002906685	131
K14260	0.001775075	80
K06075	0.000909726	41
K03482	0.00084316	38
K07718	0.002906685	131
K07085	0.001908205	86
K07720	0.002041336	92
K19710	0.000820972	37
K02952	0.000998479	45
K02948	0.000754407	34
K00640	0.001042856	47
K02986	0.000776595	35
K03040	0.001819451	82
K00057	0.002152278	97
K03071	0.000887537	40
K02564	0.000687841	31
K02761	0.001309117	59
K01222	0.000976291	44
K18908	0.001752886	79
K02759	0.000554711	25
K03491	0.001664132	75
K01055	0.000798784	36
K06936	0.001619756	73
K01684	0.001819451	82
K01631	0.001242552	56
K07738	0.001353494	61
K02035	0.002773554	125
K08194	0.002285408	103
K02111	0.000221884	10
K22441	0.001686321	76
K01269	0.001575379	71
K09125	0.000798784	36
K01462	0.000576899	26
K03588	0.00084316	38
K01953	0.002840119	128
K11754	0.001664132	75
K03648	0.000954103	43
K01972	0.002862308	129
K01209	0.044310298	1997
K03657	0.001686321	76
K01657	0.000554711	25
K15770	0.002906685	131
K07053	0.001020668	46
K02435	0.000199696	9
K06113	0.03465833	1562
K02026	0.001331306	60
K07171	0.00071003	32
K07017	0.000754407	34
K01209	0.003417018	154
K02433	0.001619756	73
K06153	0.001508813	68
K01868	0.003949541	178
K03090	0.002041336	92
K06113	0.047106041	2123
KdpA	0.002884496	130
K01547	0.003417018	154
K21572	0.045530662	2052
K21573	0.064546148	2909
K21572	0.037587203	1694
K14056	0.000599088	27
K18220	0.003461395	156
K04517	0.001175987	53
K06940	0.001109422	50
K01548KdpC	0.000820972	37
K04096	0.035102099	1582
KdpDK07646	0.003483584	157
K08303	0.035323983	1592
K05540	0.030997239	1397
K11070	0.00042158	19
K11071	0.001220364	55
K00091	0.03281669	1479
K01267	0.001775075	80
K00874	0.000576899	26
K12573	0.077282308	3483
K07005	0.025960465	1170
K18908	0.001619756	73
K01738	0.040294192	1816
K04762	0.000532522	24
K12373	0.002440727	110
K21829	0.000865349	39
K15986	0.002307597	104
K11072	0.001198175	54
K09760	0.021544967	971
K02172	0.034858026	1571
K02171	0.008675677	391
K03313	0.028245874	1273
K01458	0.000776595	35
K01265	0.015775975	711
K11085	0.001220364	55
K21594	0.0398948	1798
K01890	0.058488706	2636
K01142	0.014023089	632
K03322	0.023586303	1063
K22390	0.004393309	198
K02314	0.032528241	1466
K00919	0.020923691	943
K17073	0.000776595	35
K01784	0.028023989	1263
K22405	0.00381641	172
K03617	0.013290871	599
K06019	0.000820972	37
K02760	0.001286929	58
K03699	0.001175987	53
K02879	0.001264741	57
K03274	0.001508813	68
K07029	0.001531002	69
K02565	0.001087233	49
K00060	0.001309117	59
K01915	0.00368328	166
K00639	0.001531002	69
K04748	0.001597567	72
K09798	0.001397871	63
K19354	0.001819451	82
K03215	0.002440727	110
K04062	0.013313059	600
K03657	0.049813029	2245
K08323	0.00184164	83
K05799	0.001619756	73
K23237	0.001309117	59
K00661	0.00071003	32
K02843	0.00113161	51
K07053	0.001708509	77
K03481	0.001175987	53
K02841	0.000909726	41
K19076	0.00226322	102
K03149	0.016042236	723
K01990	0.001353494	61
K09002	0.000976291	44
K03147	0.032661371	1472
K03574	0.00071003	32
K19134	0.00255167	115
K03150	0.020391169	919
K09002	0.001597567	72
K01956	0.001952582	88
K03442	0.000776595	35
K00574	0.002351974	106
K04564	0.01584254	714
K02760	0.000133131	6
K07678	0.046351634	2089
K09002	0.002640423	119
K19337	0.000732218	33
K15633	0.002152278	97
K03088	0.000865349	39
K03154	0.003927352	177
K00788	0.011338289	511
K02299	0.000332826	15
K02299	0.00113161	51
K02298	0.002951061	133
K02297	0.001464436	66
K02257	0.00113161	51
K21147	0.012669595	571
K10810	0.013357436	602
K07286	0.001153798	52
K05527	0.000532522	24
K01785	0.000554711	25
K04034	0.03423675	1543
K01006	0.0604191	2723
K13020	0.001886017	85
K03215	0.031906965	1438
K15545	0.002218843	100
K06180	0.018438587	831
K15545	0.003062004	138
K18855	0.002729177	123
K10117	0.002596047	117
K00885	0.001020668	46
K10118	0.001930394	87
K10119	0.001886017	85
K03079	0.000754407	34
K03290	0.001952582	88
K01788	0.001220364	55
K02919	0.000776595	35
K02952	0.006856225	309
K22230	0.000199696	9
K03650	0.001020668	46
K03040	0.025383566	1144
K01208	0.00297325	134
K02879	0.015642844	705
K02948	0.011160781	503
K02986	0.018482964	833
K03555	0.053607251	2416
K15780	0.00255167	115
K06382	0.002063524	93
K15780	0.000510334	23
K04762	0.000355015	16
K20265	0.001153798	52
K09123	0.001952582	88
K02846	0.001198175	54
K09128	0.000798784	36
K08219	0.001575379	71
K00973	0.001464436	66
K06973	0.001309117	59
K03701	2.22E-05	1
K07642	0.001797263	81
K01465	0.001042856	47
K03798	0.00423799	191
K13614	0.002130089	96
K12148	0.00042158	19
K13059	0.001886017	85
K21757	0.001886017	85
K12149	0.000244073	11
K05020	0.003062004	138
K01784	0.002285408	103
K09915	0.000177507	8
K20460	0.000865349	39
K20459	0.001641944	74
K03675	0.000931914	42
K08162	0.001531002	69
K07668	0.001153798	52
K01054	0.000110942	5
K01223	0.001863828	84
K08281	0.000576899	26
K00603	0.027979612	1261
K06894	0.06889508	3105
K07273	0.001109422	50
K02760	0.000576899	26
K03488	0.000732218	33
K01468	0.041270483	1860
K01534	0.003261699	147
K15633	0.049258318	2220
K21903	0.00028845	13
K01712	0.057756488	2603
K03215	0.00142006	64
K04758	0.000110942	5
K00784	0.001042856	47
K12340	0.043644645	1967
K01500	0.01910424	861
K24180	0.000554711	25
K01745	0.046307257	2087
K04759	0.002152278	97
K05896	0.000976291	44
K00845	0.001175987	53
