KO_MANTIS_CONSENSUS	QUANT
K10040	17
K10041	72
K02895	425
K02411	191
K05921	3
K02410	56
K00230	16
K02892	4103
K00231	2
K22024	15
K02890	10977
K23351	476
K02417	5
K00239	1062
K02416	326
K02899	3860
K24204	2
K02897	1851
K03744	78
K02413	6
K03743	15
K02412	28
K11381	181
K02409	12
K05919	116
K17928	2
K08191	15
K14414	26
K02884	10357
K01552	26
K05910	8
K02881	3834
K03738	374
K02406	1780
K03737	71386
K03736	16
K02888	1680
K02404	20
K03735	39
K02887	2875
K00226	8
K03734	1
K02886	3279
K03733	6
K24217	19
K11358	255
K02433	391
K01585	16
K00254	2
K01586	881
K03763	1319
K02431	2145
K00253	36
K05946	58
K15719	163
K01580	42
K02438	2
K03769	280
K02437	175
K03768	7095
K01589	4
K00259	461
K03767	503
K02435	14
K01588	1055
K02434	874
K05942	302
K15721	2
K10039	33
K10036	132
K10037	24
K00243	1054
K00244	1571
K05934	4
K05936	171
K01571	11973
K00240	80
K22010	8
K05939	56
K02428	717
K00249	151
K00248	12038
K01579	56
K02424	31
K13993	3415
K09013	186
K09014	60
K03709	265
K13990	4
K08164	501
K10005	2
K01520	22
K03706	1944
K09007	2
K03705	36
K03704	28
K03703	49
K01523	4
K03702	510
K02855	4
K03701	912
K00677	4
K01524	8
K21138	194
K09002	3
K09487	356
K08153	27
K00661	6
K21140	6
K01991	61
K01990	2372
K21147	144
K01999	1629
K01515	12
K01998	537
K01997	10
K01996	431
K00666	13
K01995	93
K02871	2674
K19285	24
K00690	12
K19286	760
K22441	12
K00219	279
K02879	3503
K02878	8093
K02876	2355
K03723	110
K00215	214
K03722	320
K02874	5980
K08174	24
K09022	883
K03719	188
K03718	81
K10470	14
K13985	54
K01531	2
K02860	2526
K19294	126
K00682	4
K22452	15
K09017	28
K00208	56
K20276	1
K00689	2018
K09015	2
K02867	6316
K01537	99
K01534	185
K00688	19553
K23786	2
K02864	3720
K03711	92
K02863	11963
K03710	2
K17998	7
K17997	18
K17996	38
K17995	252
K17999	581
K02015	128
K02499	19
K02014	91
K07706	135
K02013	242
K02012	142
K07705	145
K02495	553
K01163	57
K02011	3
K03342	22
K07707	1
K03340	1598
K02493	2052
K07709	95
K24286	64
K02019	4
K02016	166
K05524	24
K19701	16
K18855	376
K03335	88
K02004	10
K01156	13
K02488	24
K02003	1040
K05515	1
K05516	7
K01154	403
K03332	943
K02484	13
K01153	133
K02483	3
K01151	6
K03339	1394
K03338	156
K05995	234
K03337	56
K02005	518
K03336	110
K02040	140
K01192	637
K01193	409
K01190	7045
K01191	389
K18820	42
K02037	1
K06878	3226
K03367	170
K02036	198
K02035	2968
K09903	395
K03366	2
K02034	2
K07727	845
K02033	29
K01185	8
K07729	1872
K02032	528
K01186	53
K02031	224
K01183	10
K06871	2
K07720	1975
K02039	9165
K05546	2
K01181	14
K01182	940
K18830	2
K18831	89
K02026	37
K02025	131
K01176	1736
K03353	29
K07718	141
K02020	7
K06864	9
K02029	102
K02028	260
K02027	4900
K12264	301
K13598	4
K15771	116
K15772	68
K14441	65
K15770	7582
K15779	2611
K15778	25
K03786	4
K03785	1129
K03784	11002
K03300	36
K03783	14
K22068	128
K03781	77
K03780	134
K03308	37
K03307	5
K03305	4
K00278	7
K01126	829
K03303	7
K18814	4
K10094	2
K15780	493
K15781	27
K16639	79
K15789	59
K00265	9178
K01596	260
K00266	10105
K03773	54
K00264	1392
K01595	63
K03771	46
K02440	56
K00261	27
K00262	41954
K03770	110
K01593	181
K01591	2567
K00260	1038
K01119	172
K03779	2829
K24258	34
K02448	1
K03778	412
K03776	308
K01599	79
K11392	834
K12240	417
K03324	202
K02477	42
K05989	117
K00297	1912
K02474	12
K03321	8
K03320	188
K02472	78
K01142	4
K22044	2
K02470	2458
K03328	64
K04652	109
K03327	8
K04654	24
K04655	4
K05986	15
K12251	66
K12257	410
K01134	4
K03797	34
K03312	2
K00288	4
K03310	77
K00286	312
K00281	624
K03790	2
K01138	66
K02469	2174
K01139	1441
K03798	9357
K16147	13
K07672	354
K10843	2
K10844	20
K18330	42
K18331	2021
K16153	952
K06334	135
K16150	12
K07668	138
K18332	376
K03296	17
K07652	4
K06320	56
K07658	230
K08986	54
K20627	2
K20626	9
K07692	28
K07693	2
K01903	282
K10820	483
K18785	2570
K10823	1884
K18303	13
K07684	1
K01900	94
K07689	849
K09861	99
K17472	15
K21961	27
K05499	2
K07678	173
K06346	135
K07679	120
K13075	65
K15255	2
K20608	69
K01091	359
K03270	2
K19611	195
K19613	4
K01089	25
K10804	66
K09808	1359
K09809	9
K04112	235
K04113	4
K08956	1470
K09800	1
K01077	119
K17450	12
K04104	46
K06766	62
K13059	64
K03292	29
K03286	1021
K03285	163
K07641	149
K07642	31
K09825	1656
K07646	2
K06306	18
K08969	8
K09816	46
K08963	9
K07636	15
K09811	14
K09812	282
K07271	356
K10441	4274
K07273	1250
K05096	14
K00639	3209
K13953	363
K13954	343
K01960	4
K21573	38883
K21572	5911
K21571	193
K19265	668
K19266	2
K21577	287
K21576	14
K01966	368
K21575	757
K21574	3260
K00632	1295
K23753	36
K01963	12
K02810	5
K01961	44
K07260	8
K07263	614
K00627	24
K02806	7
K01958	152
K21584	29
K22431	15371
K21583	32
K02804	1179
K00625	117
K00626	9461
K01956	1502
K01955	22631
K07258	578
K22432	1784
K01954	30
K02800	3
K01953	68
K01952	13021
K01951	4650
K00620	1203
K01950	15
K09475	3
K01507	48
K02838	1872
K11755	378
K11752	91
K11751	808
K10421	64
K11754	242
K11753	72
K00651	72
K00658	12
K07289	3
K02837	3454
K01506	10
K01989	2438
K02836	126
K00656	21807
K02835	3275
K02834	134
K22405	16578
K01500	628
K07284	870
K13940	99
K00640	344
K10439	1323
K22893	3
K00647	382
K09457	86
K17077	245
K09458	273
K00648	29
K07277	140
K02825	3900
K00645	476
K02824	55
K21563	1146
K07279	15
K02823	67
K17073	56
K02822	4
K01972	13
K06381	24
K01929	27
K01928	415
K06385	267
K01926	73
K01925	238
K07231	312
K18367	7
K13919	40
K19221	5
K01924	996
K07223	7
K01923	13016
K20202	85
K01921	193
K06379	2
K09888	26
K16191	184
K20203	3329
K01918	286
K01915	23486
K16199	254
K07221	34
K01914	2354
K07220	2
K19224	7
K13922	3879
K19225	83
K13920	84
K13921	552
K11749	346
K13926	3
K01912	77
K07213	9
K07216	50
K07699	425
K07250	54
K07251	259
K00616	23
K18345	287
K18346	4
K18347	92
K18348	24
K18349	48
K18350	606
K11717	915
K19200	104
K06398	54
K00615	5307
K01945	8264
K00613	482
K00610	804
K00611	5033
K01940	7444
K06390	6
K00609	13465
K01939	4825
K16179	13
K01938	28265
K01937	10362
K00605	90
K00606	23
K16176	674
K06395	335
K19689	137
K19693	73
K19694	231
K00603	48
K01935	8
K00604	2
K01933	6703
K00602	4313
K00600	10045
K12340	251
K13670	2
K01200	1273
K01684	42
K01685	179
K01201	4
K00351	281
K01681	4643
K01208	3375
K01209	1376
K01206	282
K01207	368
K02536	64
K01689	25471
K01205	6
K01686	1761
K00355	15
K01687	4953
K16710	34
K14534	51
K15866	522
K02520	704
K02529	1694
K23005	34
K00348	382
K01679	81
K01677	160
K00346	245
K03856	301
K01678	72
K01676	545
K01222	42
K00375	7
K01223	530
K02551	10
K03408	40
K03407	926
K03406	1257
K01227	436
K02556	4
K01224	192
K03402	14
K13663	8
K11004	12
K06901	48
K01695	94
K22130	93
K01696	114
K01212	28
K01692	322
K21285	5401
K01218	109
K01697	1253
K01698	915
K01214	16
K10120	123
K08281	6
K08282	6
K12308	148
K10125	2
K00793	2
K01640	12
K00794	453
K02970	9
K00791	193
K00790	107
K12309	80
K01649	2358
K01646	22
K01647	13024
K00313	22
K01644	3
K00798	2
K22107	2
K00795	11
K00796	173
K01643	180
K01639	1641
K12316	6
K13643	194
K02961	1455
K03816	299
K02968	660
K23449	12
K09117	464
K02967	7634
K00788	197
K01635	188
K00789	9082
K02965	4253
K02963	186
K00784	727
K09157	4943
K02519	27244
K02994	12125
K01662	79
K00331	19
K02992	9254
K02990	3491
K02518	68
K01666	310
K00335	362
K01667	1412
K00336	10
K02996	8514
K11441	39
K09145	20
K08299	11
K03839	1520
K08297	114
K10117	6359
K10118	118
K10119	221
K10112	5510
K11443	2
K01652	789
K02982	64981
K01657	21
K08289	22
K02988	4119
K01658	2
K09137	13
K02503	180
K00324	2
K02986	9557
K02502	257
K03833	228
K01653	556
K23424	69
K03832	34
K02501	296
K02500	1369
K03831	140
K18967	48
K18968	5
K16787	16
K16786	32
K16785	6
K13278	30
K13274	5
K03470	501
K14127	161
K16305	10
K06978	89
K03466	27
K02133	34006
K06979	1
K01284	44
K02132	99
K13280	41
K06972	1358
K18979	740
K17641	330
K13283	62
K16793	418
K20816	293
K01281	4
K14138	6973
K19824	117029
K07814	143
K01277	27
K06967	8
K07813	10
K03455	223
K01278	462
K02124	2
K06969	557
K02123	154
K07816	101
K02122	85
K01273	24
K02121	156
K02120	4
K01271	2218
K13290	72
K13292	10
K11072	882
K02160	50
K03491	4
K18940	2188
K15437	463
K06999	38
K03483	183
K23059	1500
K06993	15
K06997	1081
K17624	498
K18959	2
K11085	608
K06990	359
K03481	18
K18954	194
K19802	7
K01299	140
K01297	10
K03476	23
K01295	15
K15894	304
K18929	180
K04755	22
K01243	128
K04758	782
K04759	20779
K05606	338
K00394	255
K03429	2
K11060	22
K04751	86
K03427	118
K05601	300
K11065	69
K11062	23
K00390	623
K11069	324
K06923	120
K02564	788
K06922	845
K02563	137
K00384	411
K06925	3884
K06924	1
K00385	364
K03893	163
K01232	163
K00382	129
K03892	4
K06926	22
K00383	18
K01239	845
K03415	714
K06921	11
K01235	234
K03413	219
K10188	5190
K15873	15
K15871	7
K18908	619
K01270	1012
K12368	25
K10189	84
K15876	2
K02114	13
K02598	36
K01267	14943
K22162	4
K02113	54
K02112	2098
K06958	663
K02111	24688
K01265	468
K02110	5
K01262	86
K06959	373
K07806	6
K10190	239
K06950	2
K04771	5401
K04772	14
K02119	8
K02118	396
K04773	64
K02117	2925
K06951	144
K01268	24
K01269	26
K02115	99
K18914	4
K10192	5037
K10193	57
K12373	1056
K11041	922
K18910	21
K02103	9
K01255	130
K04767	4
K01256	4
K02585	117
K03431	2484
K04769	30
K06946	19
K06949	6
K02109	89
K03439	13
K02108	4
K04761	99
K03438	407
K06941	75
K04763	703
K02106	2
K03437	190
K03436	8
K01258	1432
K06942	86
K08640	4
K07792	7
K02099	222
K19781	25
K09963	8
K20765	6
K19309	1161
K09960	13
K10974	2
K19788	8826
K19789	2
K19793	2
K09952	80
K21621	78
K05595	180
K07775	1105
K09951	2
K06446	325
K07776	61
K07778	246
K22927	2
K18430	2
K07322	13
K07321	307
K08652	96
K08659	501
K20742	2
K17103	7
K17108	4
K07319	6
K14084	50
K07795	100
K08641	34
K14082	619
K09973	4
K14080	24
K07317	79
K21600	13
K07316	6
K14048	174
K22906	5
K18887	1126
K18888	445
K18889	101
K19736	2
K06416	28
K03389	300
K02058	171
K03388	394
K07749	8
K02055	12
K03385	14
K18890	1464
K18891	6
K02052	315
K07742	2
K06413	8
K06412	30
K22900	14
K05567	55
K06898	84
K14059	469
K14055	27
K02051	359
K02050	196
K18896	8
K06406	10
K06889	92
K01198	1504
K07738	44
K02045	201
K02044	28
K06409	26
K02042	19
K01195	4505
K06882	324
K06881	24
K06400	113
K06404	44
K02049	131
K15358	22
K05592	26
K05593	14
K02082	264
K02081	49
K19710	88
K05108	67
K10907	6
K02078	667
K16692	150
K05587	10
K16213	15
K16212	2716
K16211	1
K16695	23
K16210	17
K02073	2445
K02072	33
K03394	32
K18881	2
K15372	128
K08600	168
K06421	217
K07755	8
K08602	115
K10562	96
K02939	341
K00759	1136
K07397	417
K11410	19
K20361	2
K01604	1248
K00757	42
K02935	13249
K08234	165
K02933	5208
K00756	10
K02931	42223
K00754	4
K09569	4
K00752	103
K23876	222
K07386	115
K02926	3731
K13606	17
K06046	31
K06045	4
K10540	12736
K03809	156
K01628	1186
K02959	1921
K08264	54
K01629	216
K19355	9
K10546	2687
K10548	491
K10541	106
K10542	3480
K10543	237
K02950	3460
K19360	2
K21672	5
K01626	473
K06079	41
K08258	71
K02956	1430
K01624	29062
K01625	2688
K02954	2
K01623	32
K03800	149
K02952	10364
K00773	512
K01620	1
K01621	11198
K06075	543
K01619	169
K02948	1618
K06076	102
K10559	3407
K12736	98
K10555	205
K00760	414
K00761	9961
K18045	149
K01615	252
K02946	3721
K02945	13538
K01613	26
K00766	231
K00767	6146
K17195	24
K00764	838
K00765	74
K00762	2297
K21688	9
K01610	47232
K00763	3818
K06020	4
K08681	4
K19333	71
K19334	96
K18009	37
K18012	20
K08676	109
K00713	141
K06012	11
K06015	9
K06016	25
K08679	18
K00705	2640
K18013	49
K18014	28
K10536	4
K10537	4
K19347	4
K00702	1016
K00703	4941
K06001	559
K09997	4
K00700	2250
K22994	259
K07335	2981
K22516	2
K06041	4
K18471	122
K18474	42
K02911	65
K21636	6
K16291	2
K07369	59
K02909	1823
K02907	57
K02906	3049
K02904	5750
K08693	81
K06024	205
K02902	96
K06023	1777
K00721	282
K15974	17
K13797	22339
K14647	20
K14645	44
K02653	1
K01322	63
K02652	99
K02650	49
K02656	312
K10297	192
K14652	88
K12472	1159
K15986	183
K15987	82
K01790	684
K22277	1
K01791	8
K23121	157
K01318	34
K03979	1278
K02647	3872
K22278	303
K03977	4621
K12448	409
K03522	1783
K00012	351
K19083	1
K00013	1450
K03521	1498
K00010	375
K21397	4
K21395	4263
K21394	21
K03529	48
K00018	474
K03527	432
K00016	1778
K03526	1651
K03525	2
K00014	12
K03524	2
K12452	34
K13788	3980
K11127	2
K00002	9
K02662	5
K00009	69
K03518	351
K01338	555
K03517	2
K00008	3870
K02669	7
K00005	23
K02667	4
K19092	3
K00003	244
K00004	171
K10240	8039
K09251	61
K12421	65
K07078	2
K01761	95
K22226	891
K00437	25
K10254	2841
K11105	160
K01751	298
K19075	4
K22230	30
K07058	11
K01759	192
K00428	16
K01756	2613
K00425	15
K01754	3047
K01755	1122
K02601	3003
K02600	2777
K01752	3
K03931	197
K13730	2
K07095	5
K07098	77
K01783	24
K01784	12500
K18197	73
K18198	69
K23536	9
K23537	696
K21356	5
K01787	285
K01788	41
K01785	1274
K01302	32
K07082	39
K12410	128
K07089	256
K13747	2
K13746	1887
K10238	9
K15925	22
K15923	291
K15920	115
K15921	107
K07080	216
K00441	22
K01770	1324
K19055	503
K22214	2
K07079	8
K01778	78
K02626	26
K20035	94
K01779	46
K01776	28
K03955	8
K01777	233
K20038	659
K02621	1613
K01775	340
K16422	205
K12063	108
K03590	63
K17758	2
K00077	885
K03101	70
K03100	431
K00074	20430
K03584	2
K24042	1564
K03581	253
K15580	6349
K15581	33
K03589	2
K15587	11
K15584	10
K15583	6
K00067	199
K00068	487
K03575	18
K06606	646
K00065	93
K03574	279
K02242	6
K03572	160
K14260	1074
K14261	12
K20932	16
K03579	81
K03578	51
K20903	24
K12047	2
K15553	7
K13378	3
K20904	9
K11195	36
K02282	110
K05305	40
K05306	8
K00099	1237
K00096	28
K00094	60
K05304	4
K16898	232
K20918	4
K00091	21
K16899	188
K00087	258
K00088	7438
K03596	60
K03111	30
K03595	675
K03594	133
K03110	289
K00086	13
K03593	395
K05772	4
K05773	423
K15533	1313
K11175	13
K11176	1776
K15534	2
K15531	410
K15532	394
K17716	532
K14205	2
K17713	5401
K03544	3642
K00033	26
