KO_MANTIS_CONSENSUS	QUANT
K02895	197
K03742	1
K02892	108
K22024	35
K02890	191
K23351	115
K00239	510
K02899	81
K03744	97
K00234	2
K02897	115
K11381	66
K05919	10
K08191	1
K02884	218
K01552	5
K02881	220
K03737	839
K02406	107
K02888	115
K02887	129
K03734	6
K00226	51
K02886	548
K03732	9
K11358	7
K02433	1
K01586	21
K01583	10
K03760	9
K15719	8
K01580	352
K03769	7
K03768	23
K02437	30
K01589	1
K00259	66
K03767	136
K05942	1
K01588	47
K01104	4
K02434	3
K15727	43
K15724	1
K10037	27
K00241	10
K01573	2
K05936	14
K01571	81
K02429	3
K02426	2
K00248	95
K01579	10
K00245	20
K13993	188
K12661	1
K09013	64
K09011	2
K01520	18
K03706	46
K03704	63
K09004	1
K03702	3
K03701	56
K01524	1
K00677	89
K09000	3
K01993	72
K01991	93
K01990	144
K03720	10
K00694	1
K02871	294
K19286	31
K00219	3
K23779	23
K02879	264
K20265	30
K02878	236
K03724	1
K02876	277
K03723	4
K00215	5
K02874	212
K09022	58
K03718	75
K00683	14
K01531	10
K09017	5
K00208	103
K00689	5
K09015	13
K01537	6
K02867	241
K00688	16
K03711	8
K02864	211
K02863	381
K03710	20
K17996	19
K17995	14
K17999	103
K02014	419
K02013	2
K07706	2
K07705	2
K03340	124
K02493	1
K02492	1
K02016	50
K07701	1
K18855	52
K01156	3
K03335	39
K02004	5
K02003	25
K05515	2
K05516	15
K01154	8
K02485	15
K02001	1
K01153	9
K02481	26
K01151	10
K03338	5
K02005	11
K03336	7
K01192	12
K01190	119
K01191	27
K02036	1
K02035	195
K09903	80
K01187	11
K02034	4
K02033	14
K07729	3
K02032	16
K01186	5
K02031	6
K07720	22
K06872	3
K02039	1
K01182	63
K02025	5
K01176	250
K02024	35
K07718	5
K01173	8
K06861	19
K02029	3
K02028	3
K07713	5
K02027	32
K12264	3
K12267	15
K14441	5
K15779	276
K03786	10
K03785	2
K03784	26
K03783	33
K03781	58
K01129	7
K00278	42
K01126	22
K15780	7
K15789	26
K03775	10
K00265	16
K00266	193
K03773	316
K01595	8
K03771	66
K00262	440
K03770	277
K01591	25
K01119	7
K03778	17
K01599	13
K03324	1
K04656	1
K05989	3
K00297	103
K02472	44
K01142	5
K02470	15
K04652	5
K03328	1
K02479	5
K12251	35
K12257	216
K00287	5
K03797	30
K01134	56
K22051	1
K00286	58
K00281	62
K05970	2
K01138	2
K01139	42
K02469	100
K03315	13
K03798	22
K07672	152
K18330	1
K18331	120
K16153	244
K16150	75
K07668	1
K18332	28
K03296	30
K07652	16
K07651	2
K07658	3
K22803	353
K01903	15
K18785	19
K10823	4
K18302	41
K18303	48
K01902	25
K17465	6
K05020	3
K06346	49
K07679	14
K03272	3
K03270	3
K01091	16
K19611	250
K03269	10
K01089	14
K10804	28
K09808	4
K09809	1
K01085	14
K09800	1
K01082	13
K10810	5
K01077	77
K17450	75
K04104	5
K21919	3
K07648	30
K03286	1109
K03284	3
K07642	1
K07645	6
K07646	4
K13069	2
K03282	23
K09815	15
K09810	10
K08961	1
K07636	50
K09811	2
K09812	31
K02819	5
K00639	130
K07275	15
K13954	7
K01960	130
K21573	3138
K14808	3
K21572	1531
K19265	14
K21571	6
K01966	281
K00634	5
K21575	126
K21574	562
K00633	6
K01963	6
K23753	1
K01962	5
K01961	37
K07263	143
K00627	49
K01958	3
K19268	36
K22431	40
K01956	10
K00626	95
K07258	15
K01955	36
K22432	3
K01953	6
K02800	17
K01952	119
K01951	135
K01950	5
K09471	13
K09475	84
K09476	121
K01507	1
K02838	206
K11755	12
K19235	3
K11752	5
K11751	12
K00651	24
K02837	15
K00658	32
K02836	18
K01989	9
K00656	289
K02835	2
K02834	25
K22405	423
K21557	5
K01500	56
K21556	5
K07286	10
K00640	14
K10439	50
K17077	1
K07278	1
K07277	86
K09458	116
K00648	44
K00645	98
K02824	4
K02823	10
K21563	18
K01972	14
K01929	10
K01928	29
K01926	14
K01925	9
K01924	15
K07223	10
K01923	254
K01921	7
K20203	96
K07228	9
K01918	45
K01916	3
K01915	189
K01914	36
K19225	9
K11743	1
K11749	13
K11748	7
K13926	2
K01912	85
K07698	7
K01911	2
K07216	15
K17051	2
K07699	58
K00616	61
K18345	3
K18346	4
K18349	7
K11719	2
K18350	4
K11717	21
K00615	446
K01945	49
K00610	16
K00611	9
K01940	68
K00609	109
K01939	217
K01938	325
K00605	48
K01937	88
K00606	27
K19693	11
K19694	17
K00603	96
K01935	12
K00604	11
K01934	2
K01933	33
K00602	177
K07238	2
K00600	218
K07239	3
K12340	292
K01200	15
K01685	77
K01201	1
K00351	132
K01682	6
K01681	23
K00350	1
K01208	16
K01209	194
K01206	41
K01207	3
K02536	40
K01689	429
K01205	2
K01686	41
K01687	43
K13684	10
K01673	5
K02520	118
K02529	1
K02527	6
K00348	60
K00349	1
K00346	152
K01677	55
K01678	88
K00347	7
K02523	5
K01676	283
K13653	4
K13652	1
K15835	1
K01222	2
K03885	5
K01223	32
K06911	16
K02551	10
K00371	3
K03407	2
K03406	3
K01226	2
K02557	64
K02556	3
K01224	42
K03402	13
K09181	1
K01695	1
K01696	7
K00362	17
K22132	3
K02549	2
K01214	6
K01698	29
K03828	3
K12308	151
K00794	37
K02970	103
K00791	7
K12309	115
K03827	17
K01649	9
K01646	5
K01647	133
K00313	1
K00798	10
K00796	18
K08276	1
K01639	18
K12316	2
K14979	2
K02961	185
K01637	5
K03816	3
K02968	51
K09117	47
K02967	617
K00789	39
K02965	223
K00787	11
K02963	150
K00784	7
K03810	4
K09157	15
K02519	280
K10108	57
K02994	310
K01662	16
K00331	2
K02992	510
K01661	32
K02990	137
K02518	17
K00335	1
K01667	244
K02996	208
K03839	8
K10117	172
K10118	17
K10119	4
K01652	31
K02982	302
K03838	3
K03837	14
K01657	5
K08289	54
K02988	261
K02503	24
K02986	326
K01653	23
K23424	2
K03832	249
K02501	3
K03831	5
K02500	6
K16785	2
K16784	1
K03470	5
K14127	28
K03466	33
K02133	494
K01284	31
K06973	28
K06975	31
K14138	141
K19824	822
K01277	91
K07814	4
K01278	55
K02123	50
K02122	1
K02121	140
K01271	49
K03491	13
K02160	1
K18941	7
K03483	6
K23059	9
K06997	10
K11085	41
K18954	76
K01297	2
K03476	5
K03475	3
K03474	71
K03472	8
K06987	2
K18928	6
K18929	15
K06934	2
K02574	6
K01243	5
K05606	121
K04759	11
K01241	30
K00392	2
K04751	15
K03427	63
K03426	1
K03425	1
K03424	8
K11065	108
K13243	2
K11063	1
K00390	4
K11069	13
K06923	2
K02564	306
K00384	34
K06925	1
K02563	20
K00385	1
K01232	2
K00382	30
K03892	4
K06926	4
K06921	3
K10188	133
K18904	13
K01270	199
K12368	22
K10189	14
K12369	4
K02114	13
K01267	11
K02113	2
K02112	5
K03442	17
K01265	34
K02111	367
K02110	25
K07806	8
K06959	19
K06950	2
K10190	19
K04771	5
K02119	28
K04773	10
K02118	15
K02117	277
K02115	72
K03446	5
K12373	161
K01256	6
K03431	32
K01251	63
K01250	3
K02109	18
K02108	8
K04761	4
K03438	18
K04762	5
K02107	14
K04763	17
K03437	6
K03436	7
K04764	13
K01258	22
K09970	3
K02099	12
K09963	5
K07786	5
K22958	1
K07780	2
K19302	8
K19788	88
K19793	3
K06442	3
K05594	5
K07775	32
K09955	3
K22927	3
K15396	5
K14065	5
K07322	24
K07321	38
K08659	5
K17107	11
K09975	2
K07317	5
K21600	2
K03390	3
K03389	34
K03388	55
K03387	23
K14051	4
K06894	162
K06412	38
K06896	1
K09924	7
K14055	40
K02051	8
K18898	213
K19745	2
K06889	3
K01198	29
K01196	87
K06881	6
K14026	1
K05591	1
K05592	63
K19710	5
K10907	14
K02078	35
K16692	13
K16214	10
K16697	1
K02073	8
K10917	1
K09939	17
K02067	60
K02065	3
K03394	1
K07751	12
K07391	3
K01609	1
K02939	201
K00759	11
K01607	31
K00757	50
K02935	306
K07387	20
K02933	306
K00756	2
K02931	427
K07386	90
K00748	5
K02926	335
K10540	64
K03809	75
K01628	16
K02959	153
K01629	13
K10546	25
K10541	27
K10542	28
K06080	4
K10543	106
K02950	170
K06079	7
K06078	39
K01627	46
K01624	690
K02956	137
K01625	95
K02954	98
K03801	1
K01623	15
K03800	2
K01620	7
K00773	4
K02952	214
K01619	92
K06077	28
K02948	95
K06076	87
K00760	4
K00761	35
K02946	188
K01613	8
K02945	311
K00766	1
K00767	11
K00764	54
K00765	2
K00762	133
K00763	29
K01610	1433
K06020	20
K19333	1
K19334	5
K19337	1
K18009	22
K08676	20
K00712	2
K06016	46
K06019	3
K07349	2
K08679	5
K00705	4
K10537	4
K10539	4
K06002	5
K06001	60
K00703	118
K00700	88
K07335	95
K07338	193
K09552	59
K06041	7
K02916	30
K18474	2
K02914	44
K02913	54
K02911	11
K21636	4
K02909	92
K02907	78
K02906	313
K02904	17
K02902	114
K00721	10
K15974	15
K15977	3
K13797	248
K03500	2
K04835	12
K02650	9
K02656	1047
K14652	47
K15986	1
K15987	32
K03973	15
K03972	6
K01795	18
K01792	15
K01790	13
K01791	65
K23121	5
K03979	14
K22278	32
K02647	14
K03978	19
K03977	78
K01798	41
K03975	3
K01312	49
K12448	6
K03522	168
K00012	84
K03521	173
K00013	24
K00010	99
K21395	44
K03529	2
K00018	51
K00016	60
K03526	3
K03524	4
K00014	18
K12453	10
K13788	143
K20074	9
K00009	7
K01338	82
K03517	5
K02669	2
K00008	35
K19091	3
K00003	1
K10240	44
K07075	2
K07078	15
K01760	1
K22226	8
K00432	14
K07067	2
K11105	7
K01751	34
K19077	1
K22230	1
K01759	16
K01756	127
K01754	37
K02601	60
K01755	19
K01752	28
K03931	2
K02600	54
K03930	11
K07095	5
K01783	13
K01784	210
K00459	3
K01788	12
K01785	173
K23535	4
K07082	5
K12410	10
K07089	2
K13747	2
K15923	1
K10236	82
K15921	11
K19052	7
K07079	60
K20035	195
K01775	1
K02621	21
K16422	4
K03590	64
K03587	9
K03585	125
K00077	13
K00074	39
K03100	37
K00075	8
K15580	85
K15581	1
K03106	13
K15584	14
K15585	8
K00067	39
K00065	44
K03574	6
K03572	43
K14260	17
K17734	10
K13378	11
K15553	2
K11195	69
K05305	7
K05789	13
K00099	2
K00094	20
K05787	5
K05788	7
K03599	7
K00087	8
K03113	1
K03596	2
K00088	288
K03595	21
K03111	56
K03110	42
K03594	72
K03593	19
K03592	90
K05775	5
K03116	16
K11175	2
K15533	2
K11176	5
K15532	5
K15530	12
K03544	65
K03543	166
K00033	29
K00031	20
K02217	269
K03546	3
K00036	68
K03545	12
K14213	60
K17723	33
K17722	46
K11183	2
K11184	58
K16870	5
K24012	5
K00024	560
K03531	211
K03530	373
K00020	1
K00029	72
K00027	62
K01358	65
K01356	10
K00026	55
K00057	8
K03565	1
K02234	15
K03564	12
K02232	20
K03563	14
K00052	54
K03562	1
K00053	226
K03561	336
K02230	157
K03569	85
K02238	3
K00058	199
K03568	54
K00059	18
K15524	5
K03555	4
K00046	33
K03553	135
K22293	11
K01372	114
K00041	115
K03551	7
K03550	3
K23144	109
K00040	3
K23147	2
K03559	282
K00048	73
K21739	5
K11932	16
K11934	36
K03072	1
K03071	4
K03070	202
K18574	19
K19424	1
K03060	9
K18581	10
K21741	2
K14187	17
K00817	5
K16363	57
K03092	2
K03090	2
K03088	6
K03086	47
K00812	115
K14194	2
K00813	13
K07444	20
K06113	39
K00806	4
K11928	1
K03079	3
K03077	20
K11927	24
K03076	42
K03075	4
K00800	3
K14163	91
K05685	21
K20859	1
K17686	6
K15023	166
K15024	97
K02172	50
K02171	4
K03499	1
K03496	29
K03495	15
K15474	1
K15475	1
K16329	3
K07407	53
K03046	707
K02199	150
K03043	573
K07403	20
K07405	119
K07404	5
K14155	3
K03040	282
K02189	16
K02188	1
K06180	5
K11530	8
K09690	1
K07033	7
K01728	2
K10206	35
K20480	1
K20487	1
K06178	227
K20488	7
K00876	14
K07029	18
K00874	71
K00873	215
K23997	10
K11540	232
K01719	20
K10697	1
K00860	9
K01714	71
K06167	2
K01715	28
K01712	68
K06168	17
K01710	103
K00864	32
K01711	63
K08349	5
K07050	3
K07056	17
K08384	1
K01749	1
K11997	5
K01740	94
K19002	3
K07047	2
K01745	90
K03924	188
K01744	102
K00895	283
K08372	10
K23508	1
K01738	45
K19005	12
K11527	2
K10679	2
K00882	3
K19013	20
K01736	91
K01734	89
K01735	13
K07037	9
K06142	234
K08314	8
K00833	21
K17282	4
K00831	185
K17281	5
K08316	1
K07462	5
K00826	98
Keratin_2_head	221
K18138	152
K18139	128
K18142	3
K05275	18
K08302	105
K08303	5
K07456	15
K00821	44
K20453	9
K08301	23
K07458	1
K00820	35
K08307	37
K07459	10
K20429	4
K01709	19
K01703	3
K09667	618
K01704	10
K00854	64
K07005	1
K06158	22
K01702	17
K00852	1
K00850	240
K00849	265
K07483	1
K07001	32
K00847	29
K06153	8
K00848	6
K19449	2
K18120	1
K00845	175
K08325	48
K07478	36
K00844	2
K06148	8
K00840	1
K05808	77
K05809	10
K22390	14
K03621	13
K00111	1
K02774	16
K01443	1
K02773	28
K02770	2
K05807	36
K03629	16
K23237	1
K03628	206
K01448	12
K00118	95
K02779	1
K03625	66
K02777	26
K03624	65
K02775	22
K12111	209
K03610	5
K21063	5
K00100	2
K01432	7
K02761	29
K02760	68
K21065	2
K21064	4
K01439	8
K03615	29
K01438	18
K02768	16
K00588	8
K00104	58
K03612	9
K01433	10
K14742	5
K16926	3
K00133	207
K01464	19
K02796	102
K03643	5
K00134	1219
K01465	2
K02795	8
K02794	151
K01462	9
K03640	29
K03649	5
K03648	16
K02316	2
K01468	20
K02314	8
K03644	3
K02313	3
K12573	58
K12574	29
K03631	18
K02784	39
K05813	1
K02781	9
K22373	30
K03637	1
K03635	1
K00125	43
K07192	134
K11211	7
K01409	19
K14727	31
K12543	31
K01883	36
K01880	7
K22341	112
K22347	5
K01889	68
K01886	78
K21019	1
K01887	59
K00554	6
K01885	7
K01872	12
K01870	107
K21021	1
K01879	31
K00548	7
K00549	1
K01878	5
K21024	7
K01875	162
K01876	119
K01873	46
K01874	47
K03609	13
K03608	1
K12528	5
K12527	11
K12524	49
K01420	5
K01421	3
K21471	18
K03607	6
K02759	19
K01425	73
K03601	10
K01893	142
K01894	1
K00560	17
K01892	70
K11209	1
K01890	49
K01897	94
K22339	5
K00567	7
K02744	7
K00564	1
K02742	2
K01896	30
K13038	11
K02377	5
K00197	104
K00198	102
K00196	15
K24163	1
K02372	4
K00194	147
K02371	5
K21908	5
K13043	14
K03214	5
K05878	15
K03696	44
K05879	6
K00186	84
K03212	1
K03695	412
K00187	29
K03210	63
K02361	3
K03218	27
K03217	25
K05874	13
K03215	5
K03699	8
K13013	1
K18704	3
K18707	9
K01071	4
K14348	1
K07605	226
K01069	12
K07604	162
K02393	3
K13020	3
K01057	19
K01056	3
K01051	11
K04564	75
K04567	142
K16509	3
K13479	1
K03665	39
K05844	1
K01000	2
K04516	96
K04518	5
K01008	5
K01006	765
K02338	26
K01007	15
K02337	1
K03668	170
K01488	1
K01005	5
K02335	29
K01489	1
K03666	5
K03654	87
K00145	37
K03651	12
K03650	30
K00140	47
K03657	4
K04985	44
K03655	1
K00147	12
K15633	130
K00180	5
K15635	11
K03687	59
K02356	119
K00177	68
K02355	1175
K03686	88
K00175	58
K21071	83
K00176	7
K00174	128
K02358	1964
K00179	49
K01026	9
K02357	360
K12132	20
K17828	13
K21084	8
K02343	3
K01495	8
K02341	5
K01493	5
K03671	97
K21088	2
K00163	17
K01491	150
K02346	2
K00917	2
K04041	14
K18210	36
K00912	5
K06213	6
K05365	2
K05366	24
K06217	27
K00906	1
K22719	5
K03183	2
K06207	70
K16043	5
K09710	16
K06200	5
K07533	4
K06201	7
K06204	34
K20988	83
K00939	197
K00937	6
K04062	42
K20509	52
K04064	3
K09749	1
K07566	8
K00931	2
K00932	5
K07568	60
K09747	1
K00930	31
K00928	160
K00929	5
K00926	12
K00927	854
K05384	29
K00925	100
K18676	6
K18682	152
K04043	109
K06221	52
K08884	3
K06223	15
K04047	2
K03150	5
K17318	60
K20965	2
K19506	2
K21829	8
K19505	1
K02283	1
K05799	3
K20974	14
K05350	12
K19955	11
K19956	1
K05349	130
K03169	10
K03168	132
K03164	69
K09704	33
K09702	1
K04485	2
K04487	34
K04488	325
K12982	10
K08483	50
K00992	1
K01847	166
K01845	35
K00998	2
K00996	1
K01843	6
K01840	135
K07140	2
K01839	1
K01835	2
K00986	2
K01834	140
K07138	33
K07173	2
K07175	313
K16089	626
K11635	5
K19118	4
K11633	2
K01868	167
K00537	17
K01869	39
K01866	100
K01867	59
K16092	66
K07164	103
K07165	5
K11645	215
K12975	1
K10797	13
K13821	2
K01858	155
K00525	134
K01854	3
K01808	22
K01809	309
K04083	2
K04084	17
K01804	153
K00957	39
K01805	224
K16066	44
K11618	2
K00955	45
K04077	1268
K01803	310
K04078	147
K07588	26
K00954	9
K04079	221
K09768	1
K00948	75
K04072	244
K04074	2
K00946	5
K19586	8
K10778	4
K10773	9
K00945	78
K00942	5
K04069	4
K09758	88
K00940	30
K06282	3
K06284	15
K07133	35
K00979	1
K16044	67
K00970	13
K00978	16
K00975	151
K07126	1
K00973	16
K00971	20
K01818	94
K04095	5
K01815	65
K18240	21
K01813	92
K04088	10
K01811	7
K07115	4
K00965	10
K01812	211
K00962	274
K22736	1
K01810	418
K00963	11
K07118	14
