KO_MANTIS_CONSENSUS	QUANT
K15738	68
K02895	1912
K03742	171
K02410	1
K00230	2
K03740	1
K02892	1235
K22024	392
K02890	2131
K23351	1028
K03749	1
K03748	3
K00239	6962
K02899	858
K01567	6
K02414	2
K03744	1175
K00234	26
K02897	1642
K24206	2
K11381	575
K11383	40
K05919	500
K08191	133
K13566	14
K02884	2057
K02400	1
K05910	64
K01552	71
K02881	1860
K03738	7
K03737	21967
K02406	856
K03736	1
K02888	1726
K02887	1283
K03734	46
K00226	637
K02886	5633
K03733	1
K03732	35
K12687	6
K13533	3
K11358	109
K10027	1
K23330	1
K02433	274
K01101	7
K01585	1
K01586	379
K03763	62
K01583	357
K03762	1
K02431	59
K05946	1
K03760	259
K01582	61
K15719	130
K01580	5145
K02438	2
K03769	72
K03768	326
K02437	264
K01589	3
K00259	1075
K03767	1049
K02435	20
K05942	30
K01588	799
K01104	30
K02434	328
K13542	68
K10039	11
K15726	2
K15727	358
K15724	9
K15725	99
K10037	230
K00243	40
K03753	27
K01574	5
K00244	7
K05934	55
K00241	106
K01573	12
K03750	64
K05936	121
K01571	1392
K22010	2
K05939	1
K02429	65
K02428	39
K00247	17
K02426	36
K00248	1491
K01579	95
K00245	223
K02424	14
K00246	56
K13993	3084
K12661	2
K09013	609
K09014	19
K03709	110
K09011	13
K02851	10
K01520	134
K00673	1
K03706	656
K03705	64
K02858	2
K03704	906
K09004	1
K03703	28
K02856	2
K03702	216
K01523	70
K02855	16
K03701	1087
K01524	16
K00677	637
K02854	3
K03700	3
K09482	1
K10012	80
K09000	33
K08153	2
K09001	8
K02849	1
K10017	1
K13527	1
K13525	2
K00661	32
K01993	428
K01991	1170
K01990	1678
K01515	21
K01998	1
K01512	3
K00666	1
K01996	1
K02843	1
K13979	18
K03720	177
K00694	7
K02871	3376
K19285	52
K19286	485
K22441	30
K21592	1
K00219	112
K23779	143
K03726	3
K02879	2745
K20265	246
K01547	12
K02878	1741
K01548	1
K03724	2
K02876	3228
K03723	196
K00215	348
K03722	1
K23776	3
K02874	2577
K03721	2
K09022	857
K03719	103
K00209	49
K03718	1018
K00683	170
K01531	208
K02860	11
K22452	4
K09017	17
K22457	1
K00208	1007
K00689	289
K09015	217
K01537	523
K02867	2910
K01534	153
K00688	1311
K03711	138
K02864	2675
K02863	4248
K03710	148
K01533	45
K17996	515
K17995	509
K17992	162
K17999	1327
K02499	55
K02014	5710
K02498	26
