ProteinSubgroup	MQ_DB2Metagenome_GUT_10	GP_DB2Metagenome_GUT_08	MQ_DB2Metagenome_GUT_08	GP_DB2Metagenome_GUT_10	GP_DB2Metagenome_GUT_09	MQ_DB2Metagenome_GUT_06	MPA_DB2Metagenome_GUT_09	GP_DB2Metagenome_GUT_06	MPA_DB2Metagenome_GUT_08	PD_DB2Metagenome_GUT_08	PD_DB2Metagenome_GUT_06	PD_DB2Metagenome_GUT_09	PD_DB2Metagenome_GUT_10	MQ_DB2Metagenome_GUT_09	MPA_DB2Metagenome_GUT_06	MPA_DB2Metagenome_GUT_10
d64dc6fb-c536-4c38-88c8-7619a3a77d20	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	1
6677dfdd-6d8d-45af-a573-5ef5aa37b132	0	2	4	12	6	0	3	0	1	2	0	4	8	6	0	1
ca130cc7-0fc1-4318-a9d0-73eb8f7b552b	0	18	6	12	20	0	3	0	2	14	0	8	6	4	0	4
ff9d1301-40e2-4269-b39c-2f7bcd5a5442	18	40	28	74	62	4	20	18	16	34	6	40	52	82	1	21
02fda244-53c0-45da-9666-0ceff70279f4	2	4	4	10	12	0	6	2	1	4	0	10	12	12	0	0
2fbaee71-441e-47dd-ba2e-bdf1449ce27d	20	54	30	46	70	4	33	24	23	50	10	66	44	80	5	9
5d11363f-ef32-4fc3-9c57-61d138b9f1fb	14	54	30	38	70	2	33	24	23	50	8	66	36	80	4	5
07f678b7-b878-465c-b416-925b26d91095	16	48	28	34	76	2	32	20	21	42	8	70	36	86	4	5
59151deb-f3c6-4292-b61e-18216e04525c	12	38	20	20	58	0	22	4	15	34	0	54	18	68	0	4
7a2cbe26-2150-416b-a9ed-54fc20c39c69	10	30	14	18	40	0	17	2	11	30	0	40	20	66	0	8
ec6c8ebb-e499-4ea3-a6c6-33d7e1847ee8	8	24	14	14	30	0	10	0	9	22	0	26	12	38	0	3
5f1bfa61-9146-4568-9d9a-01f43dc370b1	0	18	10	0	24	0	10	0	6	16	0	22	0	26	0	0
6aca7367-01b2-4ef5-87a1-f20eed839348	0	14	6	4	12	0	5	14	7	14	6	12	2	18	3	0
00e62388-98e1-4b03-b7c2-ec408397e801	12	48	26	24	72	2	31	22	21	42	8	66	22	84	4	5
62ab76ae-f4e1-485f-a749-b6466ff7c67c	4	24	14	10	38	0	15	0	8	26	0	38	8	32	0	1
131fc101-89e9-49f3-858a-19899db25681	14	10	4	20	14	0	6	0	5	12	0	16	20	34	0	7
1f5fcef9-7d3d-4733-9d85-1c30c49e93db	4	2	0	6	2	0	2	2	1	2	0	2	6	2	0	1
bc74d40d-1ca3-4b91-bf1f-731ac109411e	0	16	4	12	22	0	9	0	4	28	0	36	2	42	1	0
1efe7e30-cb91-4b23-8c45-ad91fb760559	0	10	2	4	20	0	8	0	2	20	0	36	0	26	0	0
96209727-db86-45ba-92eb-6fcae1889ce6	0	0	0	2	2	0	1	0	0	0	0	4	0	6	0	0
43908990-2ecf-445a-bcae-1f5f0c44cc60	0	0	0	2	0	0	0	0	0	2	0	0	0	6	0	0
a85067a2-5449-4731-a7cd-773eb5646f41	0	4	0	2	0	0	0	0	1	4	0	0	2	0	0	0
3805d32b-987c-4b06-baee-5ccf1f7d4246	0	2	2	0	2	0	0	0	0	2	0	0	0	2	0	0
4e9bfbac-5900-41ad-aa2e-e680e9e0ff90	0	2	2	0	34	0	5	0	0	0	0	22	0	26	0	0
6365f821-515c-4a02-a421-6435c897ac1e	0	10	6	0	48	2	6	8	2	8	4	36	0	32	2	0
4b8f66e4-fa66-4a08-8243-5fbbfc8761b1	2	2	4	6	2	0	0	0	0	0	0	0	4	2	0	3
8cd30ac1-0166-4558-8e0d-f8dcc51e7b42	0	2	2	0	34	0	4	0	0	0	0	20	0	20	0	0
baddf3b3-9384-41f3-adc2-cb6d4e6d2576	2	10	6	8	42	0	10	0	3	8	0	44	12	18	0	4
7adc40ce-6d93-4f40-bf06-b0c60a8e4338	0	2	2	0	42	0	7	2	0	0	2	32	0	38	0	0
a7e0bea6-15e6-4f5b-9c67-fd6c666435f7	0	2	2	0	44	0	7	0	0	0	0	32	0	36	0	0
c6185b1b-0148-4e96-9e1c-ecc48f42b5a7	0	14	4	0	76	2	14	8	3	14	4	58	0	60	2	0
c78a5b20-05fe-4318-a8fe-197fa8f2a178	0	0	0	0	30	0	4	2	0	0	2	20	0	18	0	0
e12e720e-ccca-4e06-8527-56f66f49dd98	0	4	2	0	12	0	3	0	0	4	0	20	0	24	0	0
9aea1fc5-ccc9-407d-9ae2-7d487db21300	0	2	0	0	32	0	4	0	0	2	0	18	0	18	0	0
628e27f4-c46d-4143-b9a1-22339f34a03a	0	0	0	0	12	0	3	0	0	0	0	14	0	16	0	0
5c1b084e-6a19-49e7-b76d-53e284b117db	0	2	2	0	44	0	7	2	0	0	2	32	0	40	0	0
e80dd1cd-a2dc-48bf-8b06-8a057a070eeb	16	4	2	28	40	0	7	20	1	4	10	42	32	14	4	13
cd230fb4-3075-45db-bb6a-bce4780bc18b	0	2	0	0	32	0	4	0	0	4	0	24	0	18	0	0
edf13840-859b-463f-82f3-6577e5ac5dce	0	4	2	0	10	0	3	0	0	4	0	22	0	22	0	0
2eb460f6-8af3-435d-b445-61e2bfd8ebf9	0	2	0	4	42	0	8	4	1	0	2	22	6	26	1	0
abd810f8-c8c3-40a3-ace2-7e5cc573a936	0	2	2	0	24	0	8	8	1	2	4	22	0	34	2	0
5df14e72-c214-4669-83c7-d70badc215ae	0	4	4	0	8	0	0	4	1	2	2	6	0	4	1	0
178ad3d9-b841-4898-b60f-61b7eb059a2d	0	8	4	2	76	4	18	8	4	6	4	48	0	78	1	1
16959176-2efb-40af-9ae1-913eaa917c87	0	2	2	0	36	0	5	0	0	0	0	20	0	22	0	0
ede2c355-937e-4b3c-8aa7-dd7c667b7b90	0	16	8	0	12	4	0	6	1	10	2	14	0	10	1	0
1fdc53e4-786a-4c06-8cb5-c38e80214267	0	6	2	0	36	0	5	0	1	4	0	30	0	26	0	0
51b03191-36ef-4932-885c-7070b4925c32	0	4	2	4	26	0	7	0	1	4	0	36	8	10	0	3
dd1c29b8-ac22-4f2a-a467-9ce4b024bea7	0	4	2	0	18	0	4	0	1	4	0	26	0	10	0	0
34a11275-9d7e-4e93-beb2-be8438b92b77	0	0	0	0	36	0	4	2	0	0	2	24	0	18	0	0
7f95866b-29a1-444e-a592-8fcf3ef11dc8	0	2	2	0	10	2	1	6	1	2	2	10	0	10	1	0
9262433c-8679-480c-8dff-f57a55799108	0	4	2	0	14	0	4	0	1	4	0	24	0	12	0	0
dc699385-0b06-47e7-b7d3-f8d58550f0a0	0	8	2	0	0	4	0	6	1	4	2	2	0	0	1	0
12b2ba11-cbd8-4e31-bdf8-a14a2914f312	0	2	0	0	32	0	4	0	0	4	0	18	0	18	0	0
3cd0ade2-e231-4724-ab24-2614388b5584	0	2	0	0	6	0	3	0	0	4	0	12	0	16	0	0
98eebea9-b326-4fd9-a6ad-52d428cafe79	0	0	0	0	4	0	0	0	0	0	0	4	4	2	0	0
45e9e41e-c3e9-4d57-8087-ec15686fd122	0	0	0	0	18	0	2	0	0	0	0	8	0	6	0	0
da37b965-cc75-4fb5-86b6-2d233918662a	0	0	0	0	2	0	1	0	0	0	0	4	0	0	0	0
9b2595f6-8334-4912-81b7-9d869ddcc4e9	0	2	0	0	8	0	0	0	0	4	0	2	0	0	0	0
20cc59ac-c3c9-4451-9e5f-1985cc41a22b	0	2	0	0	36	0	4	0	0	4	0	18	0	18	0	0
f8d79c43-9367-447f-b4f0-dfc35ba28fb8	0	2	2	0	6	0	0	0	0	0	0	4	0	6	0	0
5b8b094e-6a30-4281-8676-50cde5470f70	46	132	42	122	300	18	103	172	51	104	80	226	70	146	67	29
a30d3a19-0803-4e62-88d0-1bbf53530778	16	10	4	32	6	4	5	14	5	18	10	6	48	10	3	14
0bd3a762-6889-4164-add2-0691d28d7519	6	2	2	18	4	2	1	4	1	4	4	20	30	6	1	8
361ab520-6aef-402d-9511-6a6a253b39c8	6	4	2	14	2	2	1	4	2	12	4	2	28	6	1	7
0cda7a8c-d26d-400e-b80b-93274596dd72	6	2	2	14	0	2	1	6	1	4	4	0	28	6	1	7
64579d8f-0a71-465f-ab0d-46d8d49f0e33	6	4	2	18	2	2	1	4	1	10	4	6	36	6	1	7
97cf21e7-a949-460d-afc4-19adb0be2766	8	4	4	28	6	2	1	4	1	4	4	6	44	8	1	13
50c2548d-bf01-4750-9ba1-087700c0ce9d	20	6	6	48	2	4	1	4	3	8	4	2	50	6	1	15
2d38a5ec-8be2-4cb7-9296-65908934a2c5	10	2	2	22	2	2	1	6	1	4	4	2	30	6	1	9
b84229fb-7de5-4740-bfb7-36eaf5b271d5	6	4	6	14	0	2	1	4	2	12	4	0	28	14	1	7
db7d0d19-6caa-4f6a-a3db-17aa0cf9fd79	0	4	2	4	12	0	4	0	0	2	0	10	8	16	0	1
dbb7a8f2-c1f3-4cf7-bd37-058cce7286ad	6	36	8	18	64	2	13	82	10	20	34	26	16	10	48	7
afe7fcf7-9c26-4ad0-bd20-749e0ab1ca69	6	80	32	14	0	2	1	4	30	70	4	0	28	6	1	7
9659b9e7-0f46-4387-b73f-e17699653bc5	32	40	20	66	26	6	7	28	13	36	14	16	70	44	6	27
19520874-1dbc-4c91-a3af-d1c15965a174	6	6	4	26	14	2	7	8	3	4	4	10	38	16	1	11
c2cf3c9e-a432-4286-9cff-f77d5bb3f1d0	6	2	2	14	6	2	2	4	1	4	4	8	28	6	1	7
1fd21df0-fb1a-498e-bdcc-d5a216ef9957	12	4	2	28	2	4	1	4	2	14	4	0	38	6	1	12
8832fb06-c85d-4610-9d83-52c13c43fa3f	0	10	10	0	48	0	15	6	3	10	4	40	0	46	1	0
84aacb5a-7c22-440a-a7d7-96ecc4b041c8	8	14	6	16	18	2	7	8	4	12	4	6	30	26	1	7
050a95af-4c84-46be-9546-b16e5d14effb	6	4	2	16	0	4	1	4	2	12	4	0	28	6	1	8
1694d002-bf88-416e-beeb-4bcc76f4b692	82	60	40	180	96	36	28	182	24	60	92	64	174	98	37	68
cbbf783c-4953-40b2-95b5-e5c76251d7e7	4	6	2	8	14	0	5	2	2	2	2	12	8	18	1	4
c53b39f6-f6e5-4cea-aa63-02f21ad4852f	6	2	2	16	4	2	2	4	1	6	4	12	28	6	1	7
debba3a8-7b6a-43a7-ac1e-e0ed0b8e61ee	2	44	18	2	128	6	37	36	11	26	12	84	2	82	5	0
c8ac0fb8-7866-4e86-be8a-bf3352bbde79	0	0	0	0	4	0	1	0	0	0	2	8	0	0	0	0
6b17ab07-75c6-4f1b-8bf5-784c5e7f9a25	0	6	2	2	16	0	5	0	0	2	0	12	0	16	0	0
4c6bac50-abe4-4611-8158-1846e84d4dfd	0	0	0	0	4	0	0	4	0	0	2	20	0	0	0	0
b6dddd91-4593-4c50-a080-5bec074b220c	0	2	2	0	14	0	1	4	1	2	2	28	0	2	1	0
b42e7098-15de-4de5-98f6-c9581f22fa0a	18	6	6	40	16	8	6	22	2	4	10	32	44	0	3	12
642d291d-dd92-4a53-bf17-7421e8acf912	96	282	48	606	586	8	138	318	84	206	164	418	310	184	65	131
5cb96e31-6227-4487-b0c6-b9d2b0378c3f	10	14	6	26	28	0	10	2	3	6	2	30	28	32	1	11
c7e8cbb8-2cc1-4096-8363-8906711157f6	20	32	16	48	42	10	17	48	10	36	22	42	30	48	7	16
3ecefd0b-f38d-4007-8540-6cebf2e9269b	4	4	2	12	8	0	4	2	2	2	2	8	8	10	1	6
819ad1c3-e8da-4b47-bfe8-98a9c9d194a9	0	0	0	0	4	0	0	4	0	0	2	20	0	0	0	0
5a8166b3-5b2e-471e-a409-5954b38afe92	0	0	0	12	4	0	0	0	0	0	2	20	6	0	0	3
829d86a6-52e6-4c0f-a37a-e343c073f5b5	0	2	2	8	4	0	2	0	0	2	0	4	4	2	0	2
acb81b10-4a7e-4253-b752-54580527db27	4	6	2	12	16	0	7	2	2	2	2	12	10	18	1	4
6ee3d30e-0934-478a-b5c4-9b8b79cef766	0	4	4	2	4	0	1	0	1	4	0	8	0	0	0	0
ce44f5b5-9b5d-4ceb-9c1f-42dfc329f524	0	0	0	0	6	0	0	0	0	0	0	20	0	0	0	0
f353b57e-82db-40fd-a518-f271fb72b4ca	4	6	2	16	10	0	5	2	2	2	2	12	12	12	1	6
5db01245-d458-4d55-a0c9-f89eeb91e2dc	0	2	0	0	2	0	0	0	0	6	2	6	0	0	0	0
186e2561-e448-475d-b5f9-291d72747ff0	4	4	2	14	18	0	7	0	0	2	0	16	14	20	0	5
093d58ce-2b7d-42fa-b84f-c852635c24ac	2	8	6	10	12	0	4	2	2	8	0	14	6	8	0	4
a96def3c-6b06-478f-89a7-503c20974cb4	2	6	2	2	2	0	0	4	2	14	8	6	4	0	2	1
5542a80f-5698-4662-a773-3c4191b53400	4	6	2	4	6	6	1	20	1	2	10	10	4	0	4	1
40e510fd-3a40-44d8-b589-35ac6959393a	6	16	6	24	18	6	8	32	4	12	16	26	16	16	2	4
2082b7e0-f98a-425e-89f6-0fc42800dc39	20	6	6	38	8	4	1	28	2	4	12	24	32	6	4	13
6cbe2a1d-1d16-4c2a-a382-f9fc42a02684	2	4	2	10	16	0	6	0	0	2	0	14	10	14	0	3
1575f323-c0ba-4b09-8ba3-e92b06de30e1	14	10	10	30	20	4	5	16	5	12	10	20	26	18	2	5
88539248-3fe0-47a0-a0cc-247f71cfc4fb	0	4	2	12	6	0	2	0	1	2	0	6	18	14	0	6
c8c448cf-59fe-497d-88b9-ca09803f460b	0	0	0	0	4	0	0	0	0	0	0	20	2	0	0	0
738f88eb-98af-4f26-a52e-fbc634c2d20a	4	2	0	14	12	8	4	28	0	2	16	14	10	4	5	6
37e197c0-97db-4721-aea1-952fae89a74c	0	2	0	0	2	2	0	4	0	6	2	6	0	0	1	0
