Taxa	S03_Proteins	S05_Proteins	S07_Proteins	S08_Proteins	S11_Proteins	S14_Proteins	S03_Peptides	S05_Peptides	S07_Peptides	S08_Peptides	S11_Peptides	S14_Peptides	SIHUMIx_MG
Anaerostipes caccae	7.09	6.93	6.24	9.13	6.96	6.73	5.394004667	5.751644161	4.037435223	6.080454798	4.983574474	5.692535705	0.75717038
Bacteroides dorei	0.23	0.24	0.41	0.2	0.29	0.09	NA	NA	NA	NA	NA	NA	NA
Bacteroides thetaiotaomicron	74.64	73.94	82.77	71.86	78.86	82.9	62.26889248	61.22504573	80.47026065	65.14861274	71.03515762	76.07787658	85.67005215
Bifidobacterium longum	1.05	1.06	0.99	1.7	1.12	0.78	0.372464549	0.396933494	0.255240158	0.407835383	0.293562592	0.437887362	0.1
Blautia producta	0.66	0.73	0.4	0.67	0.58	0.68	0.444264943	0.428065533	0.247505608	0.352221467	0.422869924	0.303152789	6.47222873
Clostridiales bacterium VE202-01	0.21	0.28	0.06	0.28	0.14	0	NA	NA	NA	NA	NA	NA	NA
Clostridium butyricum	1.49	1.75	1.19	2.05	1.62	1.1	0.583378209	0.665447328	0.278443808	0.420194031	0.429859509	0.613042307	NA
Erysipelatoclostridium ramosum	8.83	9.05	0.55	6.39	3.96	1.27	20.21629869	20.20469315	2.065124913	15.22585429	10.89676382	3.563729453	2.69561076
Escherichia coli	5.57	5.8	7.18	7.32	6.21	6.29	10.49183271	11.00906721	12.48356408	12.14237162	11.73551408	12.99514956	4.17089548
Lactobacillus plantarum	0.23	0.22	0.21	0.4	0.26	0.17	0.228863759	0.319103397	0.162425555	0.222455663	0.20269798	0.316626246	0.12177241
