Group	PFAM_PROPHANE	PFAM_MANTIS	KO_MANTIS	KO_MANTIS_CONSENSUS	GP_DB2Metagenome_F08	GP_DB2Metagenome_F06	GP_DB2Metagenome_F07	GP_DB2Metagenome_F01	MPA_DB2Metagenome_F08	MPA_DB2Metagenome_F06	MPA_DB2Metagenome_F07	MPA_DB2Metagenome_F01	MQ_DB2Metagenome_F08	MQ_DB2Metagenome_F06	MQ_DB2Metagenome_F07	MQ_DB2Metagenome_F01	PD_DB2Metagenome_F08	PD_DB2Metagenome_F06	PD_DB2Metagenome_F07	PD_DB2Metagenome_F01
k99_252849_7_k99_32819_2	-;-;	PF03275;PF03275;	K01854;K01854;	K01854K01854	0.0	0.0	0.0	10.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	6.0	2.0	0.0	0.0	6.0
k99_163923_1_k99_210736_1	-;-;		K12132;K02945;K03527;K12132;K02945;K03527;	K02945K02945	36.0	26.0	44.0	4.0	9.0	7.0	18.0	2.0	8.0	12.0	52.0	4.0	18.0	20.0	50.0	4.0
k99_164962_8_k99_245586_2	-;-;	PF00224;PF00224;	K10457;K12406;K01930;K00873;K06689;K10457;K12406;K01930;K00873;K06689;	K00873K00873	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k99_123897_1_k99_25690_1	-;PF05031;		K18206;K18206;	K18206K18206	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	6.0
k99_98391_53	PF00294;		K19517;K11441;K00847;K10710;K01193;K18478;K16328;K19978;K00892;K00571;K03332;K00856;K21621;K00846;K22026;K00852;K00874;K01755;K03338;	K00874	0.0	4.0	2.0	2.0	0.0	2.0	0.0	1.0	0.0	2.0	10.0	6.0	0.0	2.0	2.0	2.0
k99_98391_52	PF04260;	PF04260;DUF436;			0.0	0.0	2.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0
k99_220360_1	PF00465;		K00048;	K00048	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0
k99_114095_12	-;		K07404;	K07404	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k99_2874_147_k99_32540_4	-;PF01136;	PF01136;	K06180;K02986;K08303;	K02986K08303	22.0	88.0	194.0	78.0	4.0	26.0	70.0	19.0	6.0	34.0	154.0	24.0	16.0	74.0	166.0	78.0
k99_239167_1	-;		K16927;K08696;K04025;K04027;K08700;K04028;	K04027	0.0	2.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	4.0	2.0
k99_20434_1_k99_65556_1	-;PF02810;	PF02810;PF02810;	K18286;K03070;K07039;K09858;K03070;	K03070K03070	4.0	2.0	6.0	12.0	1.0	1.0	0.0	5.0	0.0	2.0	4.0	8.0	4.0	2.0	0.0	16.0
k99_5382_3	unclassified;				0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	2.0	0.0
k99_61365_57_k99_73476_11	-;PF01268;	PF01268;PF01268;	K00288;K01938;K00288;K01938;	K01938K01938	10.0	24.0	38.0	40.0	2.0	10.0	15.0	15.0	4.0	8.0	18.0	4.0	6.0	20.0	34.0	38.0
k99_78365_2	PF02780;	PF02780;	K00615;	K00615	0.0	10.0	16.0	0.0	0.0	2.0	5.0	0.0	0.0	4.0	20.0	0.0	0.0	6.0	16.0	0.0
k99_114083_35	unclassified;		K17318;	K17318	0.0	0.0	0.0	20.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	14.0
k99_196215_37_k99_77231_5	-;PF07992;				26.0	4.0	4.0	2.0	3.0	1.0	0.0	1.0	6.0	2.0	0.0	2.0	14.0	2.0	2.0	2.0
