Group	PFAM_PROPHANE	PFAM_MANTIS	KO_MANTIS	KO_MANTIS_CONSENSUS	GP_DB1UniProt_S03	GP_DB1UniProt_S05	GP_DB1UniProt_S07	GP_DB1UniProt_S11	GP_DB1UniProt_S08	GP_DB1UniProt_S14	MPA_DB1UniProt_S03	MPA_DB1UniProt_S05	MPA_DB1UniProt_S07	MPA_DB1UniProt_S11	MPA_DB1UniProt_S08	MPA_DB1UniProt_S14	MQ_DB1UniProt_S03	MQ_DB1UniProt_S05	MQ_DB1UniProt_S07	MQ_DB1UniProt_S11	MQ_DB1UniProt_S08	MQ_DB1UniProt_S14	PD_DB1UniProt_S03	PD_DB1UniProt_S05	PD_DB1UniProt_S07	PD_DB1UniProt_S11	PD_DB1UniProt_S08	PD_DB1UniProt_S14
A0A1C7I7B7	-;		K23237;	K23237	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7I7B1	-;		K00845;	K00845	15.0	13.0	3.0	5.0	11.0	6.0	13.0	12.0	3.0	5.0	8.0	0.0	15.0	12.0	4.0	12.0	8.0	3.0	14.0	11.0	1.0	4.0	9.0	0.0
A0A1C7I7B2	-;	PF00149;			0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0N0I9	PF00633;		K01142;K00558;K07457;K10773;	K10773	1.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A0A1C7I7B9	-;	PF01624;PF05188;PF05192;PF00488;	K03555;	K03555	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	0.0
B0N0J2	-;		K06973;	K06973	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
P15254	-;		K01952;	K01952	0.0	1.0	0.0	5.0	1.0	0.0	0.0	1.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	1.0	0.0	4.0	1.0	0.0
Q8G837	-;		K23675;	K23675	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7IHC6	-;		K16904;	K16904	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0
Q8G7R8	-;	PF00664;PF00005;			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B0N0J7	-;	PF02915;	K05919;K00348;K07798;K22405;K19824;	K19824	11.0	17.0	0.0	5.0	13.0	4.0	9.0	11.0	0.0	2.0	14.0	0.0	15.0	16.0	2.0	8.0	18.0	0.0	11.0	16.0	1.0	6.0	18.0	0.0
Q8G833	PF00005;		K16787;K16786;K16785;K16784;K16927;K02071;K06857;K19171;K02068;K01990;K02188;K21397;K06994;K02008;K02006;	K16784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A0A1C7IHC2	-;	PF00403;PF00702;PF00122;	K03752;K08364;K17686;K07089;K08363;K07213;K01534;K07402;K07798;K00520;K01533;	K17686	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
P39220	unclassified;				1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
